workload,interference,repetition,execution_time,timestamp
blackscholes,none,1,0.585,20250325-163952
blackscholes,none,2,0.578,20250325-164105
blackscholes,none,3,0.581,20250325-164212
blackscholes,cpu,1,0.706,20250325-164319
blackscholes,cpu,2,0.721,20250325-165115
blackscholes,cpu,3,0.711,20250325-165459
blackscholes,l1d,1,0.673,20250325-165843
blackscholes,l1d,2,0.686,20250325-170228
blackscholes,l1d,3,0.713,20250325-170612
blackscholes,l1i,1,0.754,20250325-170957
blackscholes,l1i,2,0.749,20250325-171341
blackscholes,l1i,3,0.754,20250325-171726
blackscholes,l2,1,0.72,20250325-172110
blackscholes,l2,2,0.7,20250325-172454
blackscholes,l2,3,0.711,20250325-172839
blackscholes,llc,1,0.726,20250325-173223
blackscholes,llc,2,0.739,20250325-173608
blackscholes,llc,3,0.726,20250325-173952
blackscholes,membw,1,0.739,20250325-174336
blackscholes,membw,2,0.741,20250325-174726
blackscholes,membw,3,0.736,20250325-175115
canneal,none,1,5.293,20250325-175501
canneal,none,2,5.327,20250325-175613
canneal,none,3,5.473,20250325-175726
canneal,cpu,1,6.476,20250325-175839
canneal,cpu,2,6.694,20250325-180229
canneal,cpu,3,6.466,20250325-180619
canneal,l1d,1,6.561,20250325-181009
canneal,l1d,2,6.399,20250325-181405
canneal,l1d,3,6.567,20250325-181755
canneal,l1i,1,6.79,20250325-182151
canneal,l1i,2,6.519,20250325-182541
canneal,l1i,3,6.695,20250325-182931
canneal,l2,1,6.547,20250325-183322
canneal,l2,2,6.295,20250325-183712
canneal,l2,3,6.34,20250325-184103
canneal,llc,1,8.948,20250325-184453
canneal,llc,2,9.211,20250325-184848
canneal,llc,3,8.835,20250325-185244
canneal,membw,1,7.637,20250325-185639
canneal,membw,2,7.7,20250325-190035
canneal,membw,3,7.783,20250325-190430
dedup,l1i,1,26.341,20250325-192112
dedup,l1i,2,26.203,20250325-192529
dedup,l1i,3,26.076,20250325-192945
dedup,l2,1,24.891,20250325-193403
dedup,l2,2,25.583,20250325-193820
dedup,l2,3,20.835,20250325-194238
dedup,llc,1,28.301,20250325-194649
dedup,llc,2,27.42,20250325-195112
dedup,llc,3,27.55,20250325-195528
dedup,membw,1,27.864,20250325-195945
dedup,membw,2,28.59,20250325-200401
dedup,membw,3,28.369,20250325-200824
ferret,none,1,3.586,20250325-201246
ferret,none,2,3.49,20250325-201404
ferret,none,3,3.464,20250325-201516
ferret,cpu,1,6.997,20250325-201629
ferret,cpu,2,6.991,20250325-202024
ferret,cpu,3,7.029,20250325-202419
ferret,l1d,1,3.951,20250325-202815
ferret,l1d,2,3.88,20250325-203205
ferret,l1d,3,4.004,20250325-203555
ferret,l1i,1,7.356,20250325-203945
ferret,l1i,2,7.334,20250325-204340
ferret,l1i,3,7.112,20250325-204736
ferret,l2,1,4.054,20250325-205126
ferret,l2,2,4.006,20250325-205516
ferret,l2,3,4.003,20250325-205906
ferret,llc,1,8.035,20250325-210256
ferret,llc,2,8.261,20250325-210652
ferret,llc,3,7.737,20250325-211047
ferret,membw,1,7.825,20250325-211443
ferret,membw,2,8.228,20250325-211838
ferret,membw,3,8.281,20250325-212235
freqmine,none,1,4.199,20250325-212631
