#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      217.6   106.6    86.8   133.8   144.0   204.1   234.8   252.6   265.0   278.5   295.8   324.5   430.7  1278.9  4282.8  30054.8    30000  1745072990379  1745073000561
read      217.1    90.6    86.8   138.4   148.3   206.0   237.1   254.4   266.4   279.6   295.7   319.6   374.8   702.0  3119.2  30080.5    30005  1745073002072  1745073012201
read      221.6   125.9    86.8   138.5   148.6   208.8   239.5   256.9   269.0   282.7   298.7   324.0   393.3  1608.8  5983.2  29977.2    30010  1745073013711  1745073023807
read      220.4    94.3    93.8   138.8   149.2   209.6   241.2   259.0   270.7   284.2   299.6   323.4   376.8   899.8  3726.5  30025.2    30015  1745073025317  1745073035417
read      229.5    92.3    93.8   141.5   152.9   217.9   251.4   269.5   282.2   296.0   314.3   341.3   407.0  1050.5  3347.4  29990.2    30020  1745073036926  1745073047043
read      225.4    85.8    93.8   140.6   151.9   215.5   247.1   264.6   276.1   290.4   307.9   333.9   392.6   876.0  3059.0  30125.7    30025  1745073048553  1745073058653
read      226.3    85.3    93.8   141.9   153.2   216.1   248.2   265.8   277.7   291.7   309.3   335.5   393.4   665.0  3280.4  29950.3    30030  1745073060163  1745073070265
read      222.1    93.6    93.8   141.0   151.5   211.5   242.5   259.7   271.2   284.8   300.8   325.4   382.3   879.8  3386.7  30022.6    30035  1745073071776  1745073081875
read      221.5    89.8    86.8   139.5   150.3   210.9   242.0   259.4   271.2   285.1   301.7   327.0   387.2   892.2  3580.8  30064.8    30040  1745073083386  1745073093484
read      223.5    85.6    93.8   141.4   152.3   213.5   244.8   261.8   273.4   287.2   303.8   329.2   388.7   705.0  2986.4  30057.5    30045  1745073094994  1745073105093
read      225.5    86.4    93.8   143.0   153.9   215.7   246.8   263.9   275.0   288.9   305.6   330.8   391.2   721.2  3374.4  30150.2    30050  1745073106605  1745073116705
read      223.0    99.9    93.8   142.8   153.2   212.3   241.6   258.2   270.4   284.5   301.0   324.5   379.5   945.3  4070.0  30048.6    30055  1745073118216  1745073128314
read      231.7    89.6    93.8   142.1   154.0   220.7   254.5   273.5   286.8   301.1   318.6   345.4   410.7   741.8  3229.1  30089.1    30060  1745073129824  1745073139925
read      228.0    96.0    86.8   142.9   154.1   217.2   248.4   266.1   278.3   292.5   310.3   336.9   398.2  1075.8  3489.6  30062.0    30065  1745073141435  1745073151533
read      227.9    93.6    93.8   141.9   153.2   216.6   248.9   267.2   279.8   293.7   311.6   338.0   400.9   885.5  3455.0  30071.5    30070  1745073153043  1745073163141
read      226.7    92.7    93.8   141.4   152.5   215.6   248.0   266.2   278.7   293.0   311.0   337.1   396.2   809.6  3598.9  30064.1    30075  1745073164651  1745073174750
read      221.8    95.5    93.8   139.7   150.1   211.0   241.8   259.3   271.8   286.3   303.4   329.4   388.5   902.8  3983.7  30165.7    30080  1745073176260  1745073186360
read      228.7    92.9    86.8   142.0   153.4   218.1   250.3   267.8   279.9   293.8   311.9   339.1   404.2   901.8  3760.6  30134.5    30085  1745073187871  1745073197970
read      228.2    92.0    93.8   142.6   153.9   217.2   248.6   266.4   278.8   293.3   311.7   339.2   402.5   897.5  3258.4  30188.5    30090  1745073199480  1745073209579
read      223.7    97.8    93.8   141.0   151.6   212.5   243.8   261.1   272.9   287.4   304.8   330.3   388.9  1099.3  3460.9  30039.9    30095  1745073211088  1745073221186
read      226.3    91.8    93.8   141.7   152.8   216.5   247.4   264.5   275.9   290.1   307.3   332.8   391.3   967.3  3488.7  30141.6    30100  1745073222695  1745073232794
read      215.6    89.4    86.8   137.8   147.6   205.4   236.1   253.0   264.7   277.1   293.4   316.7   369.0   585.8  3598.5  30070.5    30105  1745073234303  1745073244405
read      216.9    90.8    86.8   130.6   142.7   209.4   239.6   255.8   267.2   279.8   295.3   319.2   372.7   659.8  3033.0  30159.2    30110  1745073245915  1745073256016
read      216.9    85.3    86.8   134.7   146.7   210.4   238.6   253.4   264.2   275.3   291.0   313.5   363.7   642.7  3197.5  30172.1    30115  1745073257526  1745073267625
read      213.8    82.3    86.8   133.4   144.6   206.3   234.9   251.1   262.3   274.0   289.9   312.4   359.7   556.9  3009.6  30224.4    30120  1745073269136  1745073279234
read      212.6    74.8    80.4   134.0   145.0   205.2   234.3   249.6   260.2   271.9   287.7   310.4   356.3   504.8  2705.4  30238.4    30125  1745073280744  1745073290844
read      212.5    83.1    86.8   135.9   146.6   204.7   233.0   248.1   258.3   269.9   284.5   305.7   349.7   543.6  3813.3  30139.3    30130  1745073292353  1745073302456
read      211.1    82.8    86.8   133.2   143.6   204.0   232.8   247.9   258.3   270.2   285.4   307.7   352.4   504.1  2977.4  30138.6    30135  1745073303965  1745073314065
read      211.0    91.4    86.8   131.8   142.8   204.5   232.1   247.0   257.2   269.2   284.3   306.4   350.8   485.5  3203.2  30176.3    30140  1745073315574  1745073325677
read      214.0    83.6    86.8   133.9   144.9   207.2   235.2   250.6   261.3   272.8   288.4   311.3   360.2   566.5  3190.9  30066.1    30145  1745073327187  1745073337287
read      221.7    93.4    86.8   135.6   147.6   214.5   245.3   261.6   272.3   285.6   301.1   324.1   373.9   554.2  3124.8  30138.8    30150  1745073338796  1745073348895
read      219.5    86.7    86.8   135.9   147.6   212.5   242.3   257.9   268.7   281.3   296.6   319.6   370.4   524.7  3712.8  30204.8    30155  1745073350404  1745073360504
read      216.3    82.0    86.8   135.3   146.3   208.4   237.5   253.8   265.3   277.5   293.6   317.1   368.4   590.0  2916.4  30098.5    30160  1745073362015  1745073372116
