#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      217.4   112.3    86.8   149.0   162.3   211.5   228.8   238.2   246.3   254.4   268.2   289.5   343.9  1319.5  6740.3   4919.8     5000  1744891253860  1744891259124
read      232.4   125.1    93.8   145.7   161.8   230.7   252.0   264.0   271.9   282.5   295.4   317.5   366.4   505.5  2119.2   9976.6    10000  1744891260627  1744891265867
read      244.4    77.8    86.8   142.1   158.8   244.9   270.4   284.3   293.7   306.1   320.3   345.1   400.0   528.3  2808.0  14999.2    15000  1744891267370  1744891272576
read      252.3    98.6    80.4   139.5   154.6   253.6   285.2   301.0   312.6   325.6   342.4   368.5   425.5   574.1  3069.1  20087.8    20000  1744891274078  1744891279283
read      260.9   121.9    86.8   135.3   149.8   262.3   298.3   316.3   329.1   343.1   362.1   389.9   447.2   830.1  3363.5  24953.2    25000  1744891280787  1744891285994
read      262.0    99.1    86.8   133.3   147.2   262.9   301.2   320.1   334.1   349.0   368.7   398.1   463.6   701.9  2716.4  30131.4    30000  1744891287497  1744891292697
read      265.1   114.2    86.8   131.8   145.7   264.6   307.0   328.1   342.4   359.7   379.9   410.1   473.1   643.9  3519.3  34977.4    35000  1744891294200  1744891299402
read      267.3   104.7    80.4   130.9   144.8   264.1   312.2   336.2   352.5   370.8   393.9   426.7   495.7   624.3  2439.4  39991.0    40000  1744891300905  1744891306112
read      271.2   182.1    86.8   130.2   144.1   263.6   316.0   341.8   359.7   379.3   402.7   437.5   507.9   689.1  6819.4  44750.5    45000  1744891307615  1744891312818
read      268.0   148.6    80.4   127.1   140.7   258.6   314.3   342.6   361.7   382.6   407.0   445.3   519.3   663.5  3955.1  49862.6    50000  1744891314321  1744891319520
read      267.7   114.8    80.4   128.0   142.0   254.2   312.6   342.9   363.7   386.5   413.2   452.1   528.1   647.1  1999.5  54965.1    55000  1744891321023  1744891326225
read      273.6   123.1    80.4   128.2   143.2   258.1   317.6   349.4   371.0   395.3   424.7   466.0   549.8   709.0  3591.3  60075.8    60000  1744891327728  1744891332929
read      277.7   163.5    80.4   128.4   143.7   260.6   320.5   353.4   375.9   401.1   432.2   476.2   568.3   740.2  5392.2  64870.2    65000  1744891334432  1744891339638
read      285.9   168.1    80.4   132.0   148.8   265.5   327.4   361.9   386.0   413.4   447.5   497.3   599.9   873.3  3956.1  70297.4    70000  1744891341141  1744891346342
read      301.5   187.3    74.4   136.6   154.7   278.3   341.5   377.5   403.1   433.2   471.1   534.1   683.2   951.3  4386.5  74927.0    75000  1744891347845  1744891353045
read      400.2   308.4    80.4   140.8   162.5   328.5   428.6   496.1   554.8   626.7   707.2   883.0  1342.0  1653.0  9067.3  79819.8    80000  1744891354548  1744891359749
read      484.3   351.3    80.4   155.7   183.7   405.2   552.7   650.4   702.9   752.9   822.0  1088.3  1476.4  1731.2  7506.0  84833.4    85000  1744891361252  1744891366453
read      500.6   332.6    80.4   170.6   204.4   441.8   560.9   644.1   698.8   756.6   842.9  1037.0  1439.9  1738.0  8350.3  89621.8    90000  1744891367956  1744891373159
