#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      222.4    84.8   101.3   152.8   165.4   214.2   237.3   251.0   260.4   270.6   284.4   305.1   344.7   812.6  4238.3   4976.6     5000  1744894001822  1744894007078
read      246.6   129.5    86.8   154.3   171.9   242.3   268.9   282.4   291.8   302.9   316.9   340.3   392.5  1092.0  7553.0   9944.6    10000  1744894008581  1744894013824
read      251.5    72.9    93.8   146.0   163.7   251.7   281.9   296.4   307.8   319.5   336.4   360.9   408.4   501.8  1980.5  14983.6    15000  1744894015328  1744894020530
read      255.9   115.6    86.8   139.8   155.0   256.5   290.6   307.8   319.2   333.8   350.5   375.5   430.6   527.4  3238.0  19954.8    20000  1744894022034  1744894027232
read      253.6    96.8    80.4   134.6   148.0   253.7   291.9   310.3   322.3   337.1   354.7   380.0   432.9  1080.0  2628.4  24951.6    25000  1744894028735  1744894033937
read      261.4    99.9    86.8   131.6   145.5   260.6   304.4   325.8   340.7   357.6   376.8   406.3   466.6   561.7  2773.5  29932.7    30000  1744894035440  1744894040644
read      267.4   144.2    80.4   129.0   142.9   263.9   312.7   336.7   352.9   370.8   393.0   424.7   487.7   677.9  7007.5  35050.2    35000  1744894042147  1744894047349
read      270.2   135.4    80.4   129.4   142.9   261.8   316.6   343.9   362.4   382.5   405.1   440.2   513.2   804.1  3084.6  40029.6    40000  1744894048853  1744894054055
read      280.8   129.3    80.4   127.6   141.6   273.3   332.2   362.1   382.2   403.9   431.1   468.7   546.0   689.2  3426.2  44975.4    45000  1744894055558  1744894060760
read      273.0   124.3    80.4   126.2   139.6   261.2   321.7   354.0   375.1   397.7   425.4   464.2   541.6   680.9  3891.3  49978.6    50000  1744894062263  1744894067478
read      276.9   145.6    80.4   126.6   140.0   260.2   324.7   359.8   383.3   408.3   438.0   483.1   574.3   713.3  2654.3  55100.0    55000  1744894068981  1744894074183
read      280.7   134.5    80.4   125.7   139.0   261.5   328.2   365.4   390.2   417.3   450.1   498.5   618.6   926.8  2484.6  60250.6    60000  1744894075686  1744894080890
read      297.7   182.4    80.4   128.1   142.2   271.4   340.9   380.5   407.8   439.9   480.7   547.8   746.6  1315.6  3994.1  65085.4    65000  1744894082393  1744894087593
read      291.4   161.7    80.4   125.2   139.4   264.9   335.2   376.5   405.0   436.5   475.2   539.3   723.4  1139.8  2444.2  70240.4    70000  1744894089096  1744894094296
read      343.2   280.4    80.4   130.7   146.8   280.3   360.4   410.0   446.6   493.4   566.1   746.2  1460.0  2441.9  7226.8  75062.4    75000  1744894095799  1744894101002
read      438.7   461.8    80.4   138.2   156.7   307.8   399.5   458.6   505.9   579.5   807.2  1489.7  2014.4  3746.0  8037.6  79835.8    80000  1744894102506  1744894107708
read      354.8   342.9    80.4   130.7   146.3   274.0   357.7   408.9   444.9   488.1   550.2   778.6  1757.7  2953.8  7896.6  85265.4    85000  1744894109211  1744894114410
read      627.8   652.2    86.8   166.2   195.5   366.3   501.8   659.0  1015.7  1411.5  1579.8  1786.6  2695.7  6565.5  9519.2  87392.0    90000  1744894115913  1744894121114
read      644.0   646.9    80.4   177.6   206.1   357.6   499.1   776.0  1246.4  1439.6  1587.5  1777.7  2652.6  4990.2  9704.5  92555.6    95000  1744894122617  1744894127820
read      646.2   678.9    86.8   179.8   207.0   347.8   473.1   785.1  1243.2  1426.3  1573.2  1771.5  3033.8  6955.3 13983.9  96375.4   100000  1744894129323  1744894134525
read      711.3   751.0    86.8   193.9   225.8   372.5   538.0   993.6  1385.1  1515.0  1645.2  1852.2  3471.6  7297.9 10249.1  92275.4   105000  1744894136027  1744894141227
read      714.0   748.8    86.8   196.9   225.7   378.1   520.7  1034.3  1393.4  1523.5  1658.2  1865.2  3437.3  7399.3  9832.3  91942.6   110000  1744894142730  1744894147934
read      700.2   728.6    86.8   192.9   221.4   371.7   500.1   983.9  1385.9  1514.7  1645.7  1846.0  3346.4  7198.7  9862.8  93631.1   115000  1744894149437  1744894154637
read      708.0   737.7    86.8   193.8   221.7   372.8   506.7  1032.8  1395.9  1524.8  1661.8  1869.1  3379.1  7223.2  9916.6  92804.5   120000  1744894156140  1744894161340
read      676.3   721.9    86.8   189.4   217.5   361.9   461.7   802.0  1334.7  1480.8  1611.9  1808.1  3361.9  7231.7 10533.9  97039.6   125000  1744894162844  1744894168045
read      658.3   748.2    93.8   187.8   215.9   343.3   444.5   680.9  1290.3  1453.1  1597.0  1816.4  3383.8  7182.9 12230.8  99727.6   130000  1744894169548  1744894174751
read      676.2   733.4    80.4   190.2   218.6   349.8   467.3   815.5  1343.0  1481.3  1620.2  1834.5  3372.6  7332.2 13615.4  97166.5   135000  1744894176255  1744894181458
read      712.3   742.6    86.8   194.7   222.2   380.2   505.4  1072.8  1401.2  1529.7  1659.5  1863.3  3407.5  7445.3 10308.2  92248.6   140000  1744894182961  1744894188163
read      695.7   749.7    80.4   190.6   219.3   369.6   491.3   913.1  1363.6  1497.1  1631.6  1847.5  3363.1  7331.5 14335.1  94541.1   145000  1744894189666  1744894194868
read      694.1   742.3    86.8   189.4   217.9   363.3   493.0   924.3  1374.6  1502.6  1637.9  1849.0  3370.9  7305.7 10243.0  94681.6   150000  1744894196371  1744894201571
read      696.9   747.3    80.4   190.1   217.5   368.0   489.6   946.4  1379.2  1512.0  1642.2  1842.0  3423.6  7317.9 12611.3  94364.9   155000  1744894203075  1744894208276
