1745063205, [1.0, 1.0, 1.0, 2.0], 2.4
1745063206, [0.0, 2.0, 1.0, 0.0], 2.4
1745063207, [1.0, 0.0, 0.0, 1.0], 2.4
1745063208, [0.0, 2.0, 0.0, 1.0], 2.4
1745063209, [1.0, 0.0, 0.0, 0.0], 2.4
1745063210, [0.0, 1.0, 1.0, 0.0], 2.4
1745063211, [1.0, 0.0, 0.0, 2.0], 2.4
1745063212, [0.0, 1.0, 0.0, 1.0], 2.4
1745063213, [1.0, 1.0, 1.0, 0.0], 2.4
1745063214, [0.0, 1.0, 0.0, 2.0], 2.4
1745063215, [0.0, 1.0, 0.0, 1.0], 2.5
1745063216, [0.0, 1.0, 1.0, 1.0], 2.5
1745063217, [2.0, 0.0, 0.0, 0.0], 2.5
1745063218, [0.0, 2.0, 1.0, 1.0], 2.5
1745063219, [0.0, 0.0, 0.0, 0.0], 2.5
1745063220, [4.2, 3.2, 0.0, 2.0], 2.5
1745063221, [1.1, 1.1, 1.0, 1.0], 2.5
1745063222, [2.1, 2.2, 1.0, 1.0], 2.5
1745063223, [0.0, 1.1, 1.0, 2.0], 2.5
1745063224, [1.1, 0.0, 2.0, 0.0], 2.5
1745063225, [1.0, 0.0, 0.0, 1.0], 2.5
1745063226, [2.1, 3.1, 2.0, 1.0], 2.5
1745063227, [1.1, 0.0, 0.0, 1.0], 2.5
1745063228, [0.0, 0.0, 0.0, 1.0], 2.5
1745063229, [4.3, 2.2, 2.0, 1.0], 2.5
1745063230, [1.1, 2.2, 2.1, 1.0], 2.5
1745063231, [1.1, 0.0, 0.0, 0.0], 2.5
1745063232, [0.0, 1.0, 1.0, 2.0], 2.5
1745063233, [2.2, 1.1, 1.0, 0.0], 2.5
1745063234, [2.2, 2.2, 0.0, 1.1], 2.5
1745063235, [1.1, 0.0, 2.1, 1.1], 2.5
1745063236, [2.2, 0.0, 1.1, 1.0], 2.5
1745063237, [2.2, 3.4, 0.0, 1.1], 2.5
1745063238, [2.0, 2.0, 1.0, 1.0], 2.5
1745063239, [1.0, 1.0, 1.0, 1.0], 2.5
1745063240, [2.3, 2.3, 1.1, 0.0], 2.5
1745063241, [2.3, 3.5, 2.1, 0.0], 2.6
1745063242, [3.4, 2.4, 0.0, 1.0], 2.6
1745063243, [2.3, 1.2, 1.1, 0.0], 2.6
1745063244, [3.4, 3.4, 2.1, 0.0], 2.6
1745063245, [0.0, 0.0, 0.0, 2.0], 2.6
1745063246, [2.1, 2.2, 0.0, 0.0], 2.6
1745063247, [3.6, 3.5, 3.2, 3.3], 2.6
1745063248, [4.7, 3.5, 0.0, 2.2], 2.6
1745063249, [3.5, 4.7, 0.0, 1.1], 2.6
1745063250, [4.7, 2.4, 2.1, 2.2], 2.6
1745063251, [2.2, 2.2, 0.0, 2.1], 2.6
1745063252, [0.0, 0.0, 1.0, 1.0], 2.6
1745063253, [2.3, 3.4, 0.0, 2.1], 2.6
1745063254, [3.6, 2.5, 1.1, 1.1], 2.6
1745063255, [7.1, 6.0, 0.0, 2.1], 2.6
1745063256, [2.5, 4.9, 1.1, 3.2], 2.6
1745063257, [5.9, 4.8, 1.1, 2.2], 2.6
1745063258, [2.1, 2.1, 2.0, 0.0], 2.6
1745063259, [0.0, 1.0, 0.0, 2.0], 2.6
1745063260, [6.3, 8.4, 0.0, 1.1], 2.6
