1745063850, [1.0, 0.0, 1.0, 0.0], 2.4
1745063851, [1.0, 0.0, 2.0, 0.0], 2.4
1745063852, [0.0, 1.0, 2.0, 0.0], 2.4
1745063853, [0.0, 0.0, 0.0, 1.0], 2.4
1745063854, [0.0, 0.0, 2.0, 0.0], 2.4
1745063855, [1.0, 0.0, 1.0, 0.0], 2.4
1745063856, [0.0, 0.0, 1.0, 0.0], 2.4
1745063857, [1.0, 0.0, 2.0, 2.0], 2.4
1745063858, [0.0, 2.0, 1.0, 0.0], 2.4
1745063859, [0.0, 0.0, 1.0, 0.0], 2.4
1745063860, [0.0, 2.0, 1.0, 0.0], 2.4
1745063861, [0.0, 0.0, 1.0, 0.0], 2.4
1745063862, [1.0, 0.0, 1.0, 1.0], 2.4
1745063863, [0.0, 1.0, 2.0, 0.0], 2.4
1745063864, [1.0, 0.0, 1.0, 1.0], 2.4
1745063865, [1.1, 1.1, 2.0, 1.0], 2.4
1745063866, [2.1, 2.1, 2.0, 0.0], 2.4
1745063867, [1.1, 0.0, 1.0, 0.0], 2.4
1745063868, [1.1, 1.1, 1.0, 2.0], 2.5
1745063869, [1.0, 1.0, 2.0, 0.0], 2.5
1745063870, [1.0, 0.0, 1.0, 0.0], 2.5
1745063871, [1.1, 1.1, 0.0, 0.0], 2.5
1745063872, [0.0, 0.0, 3.1, 0.0], 2.5
1745063873, [2.2, 1.1, 0.0, 0.0], 2.5
1745063874, [2.2, 0.0, 2.1, 1.0], 2.5
1745063875, [1.1, 1.1, 2.1, 0.0], 2.5
1745063876, [0.0, 0.0, 1.0, 1.0], 2.5
1745063877, [0.0, 0.0, 1.0, 0.0], 2.5
1745063878, [2.2, 1.1, 2.1, 2.0], 2.5
1745063879, [1.1, 2.2, 0.0, 0.0], 2.5
1745063880, [1.1, 1.1, 2.0, 0.0], 2.5
1745063881, [2.2, 1.1, 2.1, 1.0], 2.5
1745063882, [1.1, 0.0, 2.0, 1.0], 2.5
1745063883, [0.0, 0.0, 1.0, 0.0], 2.5
1745063884, [1.0, 1.0, 2.0, 1.0], 2.5
1745063885, [1.2, 1.1, 3.1, 1.0], 2.5
1745063886, [2.3, 1.1, 0.0, 0.0], 2.5
1745063887, [1.2, 0.0, 3.1, 0.0], 2.5
1745063888, [3.4, 0.0, 2.1, 1.1], 2.6
1745063889, [1.1, 1.1, 1.1, 0.0], 2.6
1745063890, [0.0, 0.0, 2.0, 2.0], 2.6
1745063891, [1.1, 3.2, 0.0, 0.0], 2.6
1745063892, [2.4, 0.0, 2.1, 0.0], 2.6
1745063893, [3.5, 2.4, 3.1, 1.1], 2.6
1745063894, [1.2, 2.4, 0.0, 2.1], 2.6
1745063895, [2.4, 1.2, 1.1, 0.0], 2.6
1745063896, [0.0, 2.2, 1.0, 1.0], 2.6
1745063897, [1.0, 0.0, 0.0, 1.0], 2.6
1745063898, [2.3, 2.3, 3.1, 2.1], 2.6
