#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      187.2    95.9    86.8   127.8   139.5   181.0   196.1   204.3   211.2   218.1   229.5   247.8   300.2  1231.9  4487.3   4977.4     5000  1745062897226  1745062902486
read      198.8    83.6    74.4   128.2   142.1   195.3   213.1   222.9   230.1   238.0   250.7   269.8   315.7   784.9  4065.2  10042.8    10000  1745062903989  1745062909232
read      218.3   532.5    74.4   125.3   139.4   207.1   228.7   240.3   249.1   259.1   271.9   292.1   337.5   885.9 31692.4  14976.8    15000  1745062910735  1745062915946
read      215.7    81.1    80.4   120.7   133.6   214.6   240.2   253.7   263.8   274.1   289.5   312.0   358.6   766.9  2773.0  19946.8    20000  1745062917449  1745062922650
read      222.6    75.3    74.4   120.7   132.8   221.1   252.0   267.9   278.7   291.6   308.0   332.3   382.5   533.0  1908.2  25116.0    25000  1745062924153  1745062929352
read      223.4    88.6    74.4   119.0   130.4   219.6   254.8   272.9   285.5   298.9   316.1   341.4   393.1   523.7  2894.7  29963.0    30000  1745062930854  1745062936061
read      241.5   115.4    80.4   118.9   131.9   235.6   276.7   297.9   312.5   328.8   348.3   379.8   446.3   936.5  3408.4  34919.6    35000  1745062937564  1745062942774
read      234.8   101.6    68.9   116.7   128.8   226.9   270.7   293.7   309.2   326.0   346.1   377.0   436.2   580.1  3298.9  39936.0    40000  1745062944276  1745062949478
read      239.8   101.7    80.4   118.0   130.0   229.5   276.5   301.4   318.1   337.5   361.0   394.7   464.6   609.8  2321.9  45224.1    45000  1745062950981  1745062956183
read      245.2   131.7    74.4   115.4   127.7   234.1   283.6   310.2   328.5   348.6   373.1   409.1   482.0   630.2  3720.5  49774.1    50000  1745062957686  1745062962888
read      250.3   121.7    74.4   115.0   127.4   237.9   291.0   319.0   338.6   360.8   387.4   425.6   508.2   706.7  3143.5  54962.6    55000  1745062964391  1745062969600
read      259.4   144.5    74.4   116.3   128.7   240.8   299.0   331.1   353.1   377.9   408.6   456.6   588.3   883.7  3830.5  59993.6    60000  1745062971103  1745062976304
read      268.6   139.0    74.4   116.0   128.7   244.9   307.5   343.0   368.9   398.1   434.2   497.9   662.2   924.9  3017.9  64948.4    65000  1745062977807  1745062983010
read      265.4   177.8    74.4   114.5   126.6   239.1   303.0   339.6   365.7   394.8   430.4   488.9   656.7   989.9  6727.3  69879.6    70000  1745062984512  1745062989715
read      281.5   203.6    74.4   116.9   129.7   239.2   309.2   351.7   382.5   418.3   465.8   566.0   855.5  1795.2  4543.2  74681.4    75000  1745062991219  1745062996420
read      370.5   408.5    74.4   122.8   138.4   267.1   348.9   402.3   443.9   502.1   625.4  1090.3  1812.2  3567.5  9030.8  79789.5    80000  1745062997923  1745063003132
read      468.2   503.7    80.4   133.9   153.6   307.9   411.1   487.6   560.4   679.2  1044.6  1579.9  2155.8  4124.1  9167.5  84543.8    85000  1745063004635  1745063009834
read      500.4   606.4    74.4   138.1   159.5   309.4   409.3   493.8   577.8   723.6  1256.3  1610.4  3241.7  5271.1  9095.6  89844.7    90000  1745063011337  1745063016538
read      554.6   587.1    74.4   146.5   169.8   327.2   459.1   587.8   729.1  1191.7  1472.4  1700.7  2471.5  4483.7 10102.0  91952.0    95000  1745063018041  1745063023241
read      481.0   533.4    74.4   136.8   155.2   287.5   394.7   495.8   576.4   768.3  1334.6  1589.9  2140.3  3967.8  9590.0  98698.2   100000  1745063024744  1745063029945
read      662.7   712.8    80.4   176.9   202.1   347.6   470.6   795.0  1332.2  1470.7  1607.6  1811.5  3284.9  7275.6 11673.4  97289.7   105000  1745063031449  1745063036657
read      638.3   691.1    86.8   173.9   197.9   337.7   430.6   664.9  1301.2  1448.4  1578.6  1760.8  3227.1  7133.1  9532.9 101065.3   110000  1745063038161  1745063043361
read      686.6   733.8    86.8   181.9   207.5   359.0   481.5   864.4  1372.0  1502.2  1636.4  1839.8  3387.9  7281.9 11590.5  95648.8   115000  1745063044864  1745063050065
read      682.1   737.6    86.8   184.1   208.6   361.5   473.7   842.8  1366.7  1492.1  1627.3  1830.4  3389.3  7285.0 10170.7  96331.7   120000  1745063051569  1745063056773
read      668.5   725.3    80.4   178.2   200.9   357.1   453.9   773.8  1355.1  1486.6  1612.4  1805.1  3335.1  7240.5 13747.6  98390.0   125000  1745063058276  1745063063479
read      702.6   757.1    80.4   187.0   211.6   367.7   519.1   917.2  1379.7  1504.4  1646.2  1878.8  3448.2  7532.3 10130.7  93732.0   130000  1745063064982  1745063070189
read      702.5   744.7    86.8   184.0   210.6   360.6   534.9  1068.1  1396.8  1518.8  1653.5  1855.8  3424.4  7415.9 10205.3  93759.8   135000  1745063071692  1745063076894
read      723.5   763.2    86.8   194.6   216.7   388.4   523.7  1189.4  1418.5  1548.9  1680.8  1890.5  3460.8  7529.8 10002.0  91133.0   140000  1745063078397  1745063083597
read      718.5   760.6    93.8   192.4   214.9   390.4   518.4  1115.4  1406.5  1544.1  1672.4  1872.3  3437.6  7563.7 11097.1  91784.4   145000  1745063085100  1745063090300
read      682.0   736.6    86.8   185.7   206.2   373.9   478.9   852.6  1367.4  1497.9  1616.9  1809.2  3429.5  7200.6 10177.4  96369.4   150000  1745063091804  1745063097006
read      713.0   755.7    86.8   191.3   213.4   387.0   512.6  1136.0  1405.0  1533.8  1660.0  1860.8  3446.6  7398.7  9968.2  92246.4   155000  1745063098509  1745063103719
read      701.3   750.0    86.8   186.5   210.8   373.3   496.4  1007.9  1398.0  1529.5  1653.5  1845.2  3418.4  7404.3 12056.3  93764.0   160000  1745063105222  1745063110431
read      695.4   725.9    80.4   190.9   211.8   381.3   493.7  1020.6  1389.9  1524.2  1644.2  1834.2  3398.4  7280.3  9794.8  94607.0   165000  1745063111934  1745063117134
read      685.8   709.5    86.8   188.4   208.7   379.3   490.5  1044.2  1383.6  1513.4  1628.5  1811.8  3238.2  7213.2  9579.0  95948.6   170000  1745063118637  1745063123835
read      711.2   760.9    86.8   195.0   216.0   392.5   505.0  1092.0  1405.7  1542.4  1666.0  1855.6  3463.3  7416.9 14322.6  92611.8   175000  1745063125339  1745063130541
read      695.6   747.8    86.8   185.2   208.5   372.8   500.7   923.8  1378.7  1509.3  1632.2  1834.0  3497.0  7410.4 10527.9  94605.1   180000  1745063132044  1745063137252
read      649.5   736.5    80.4   176.6   200.0   339.6   442.6   635.8  1301.9  1443.2  1585.0  1818.5  3354.2  7417.0 12451.0 101375.8   185000  1745063138756  1745063143956
read      675.5   703.8    86.8   184.7   205.5   367.4   471.4  1075.9  1384.2  1497.4  1601.7  1761.0  3301.3  7210.7  9887.1  97341.7   190000  1745063145459  1745063150661
read      711.7   742.9    80.4   191.9   213.5   388.9   512.5  1122.5  1401.8  1531.8  1657.2  1861.0  3441.3  7409.7 10001.5  92527.0   195000  1745063152164  1745063157366
read      659.3   722.4    86.8   175.9   196.5   356.3   444.7   691.5  1336.3  1472.2  1601.0  1791.4  3355.9  7248.2 12237.6  99594.9   200000  1745063158869  1745063164069
read      742.5   746.2    80.4   204.0   224.1   410.5   558.3  1319.0  1455.3  1563.1  1681.0  1870.2  3389.6  7354.8 10034.5  88685.0   205000  1745063165573  1745063170775
read      683.8   738.5    86.8   183.3   206.0   365.1   475.9   807.3  1363.1  1494.9  1629.2  1851.5  3365.6  7395.0 12341.8  96399.6   210000  1745063172278  1745063177479
read      661.0   715.5    86.8   177.9   198.7   357.1   447.1   714.5  1345.2  1479.5  1607.1  1785.8  3366.0  7110.2  9880.5  99424.0   215000  1745063178982  1745063184184
read      679.3   733.3    80.4   186.1   207.0   370.4   470.5   863.4  1371.9  1498.0  1604.6  1771.8  3408.7  7215.3 10039.6  96675.7   220000  1745063185687  1745063190893
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 80.50%,41.50%,100.00%
