#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      188.4    87.9    74.4   128.4   140.5   183.9   198.4   206.6   212.7   219.0   229.8   246.0   293.5   872.5  3171.4   5015.6     5000  1745063219690  1745063224948
read      201.8   101.0    80.4   132.0   147.6   200.8   216.2   225.0   230.9   237.6   248.5   264.0   295.0   782.9  2199.1  10025.8    10000  1745063226451  1745063231695
read      204.2    78.9    86.8   128.2   141.8   203.7   220.9   230.2   236.0   245.5   255.0   272.4   311.4   775.0  3818.2  15040.8    15000  1745063233198  1745063238398
read      210.9    89.5    68.9   125.1   137.7   212.2   231.5   242.1   249.6   258.3   269.8   287.6   322.0   770.1  3225.2  20117.0    20000  1745063239901  1745063245101
read      209.4    95.1    80.4   123.8   135.2   210.5   231.9   243.2   250.9   260.3   271.5   289.8   326.1   756.6  3121.9  24920.8    25000  1745063246604  1745063251807
read      212.6    84.1    80.4   121.2   132.1   215.1   238.7   250.8   259.4   269.1   281.4   298.8   340.7   714.1  2983.3  29879.4    30000  1745063253310  1745063258516
read      218.2    75.6    74.4   119.7   130.8   222.3   249.6   263.2   271.9   282.9   295.2   315.6   357.8   491.5  2851.5  35095.8    35000  1745063260020  1745063265221
read      213.5    77.9    74.4   118.4   128.5   216.0   245.7   260.0   269.5   280.5   293.8   314.5   357.9   462.9  1746.0  40015.2    40000  1745063266725  1745063271922
read      216.8    89.2    74.4   118.1   128.5   218.3   251.7   267.0   277.0   289.1   303.5   324.1   369.5   459.1  2892.4  45049.8    45000  1745063273425  1745063278625
read      219.2    89.1    74.4   118.0   128.4   218.6   255.5   272.2   283.6   295.4   311.4   334.3   379.9   486.9  2565.6  50006.6    50000  1745063280128  1745063285333
read      217.8    88.8    80.4   116.1   126.7   215.0   254.9   272.6   284.7   297.1   313.7   337.5   386.2   492.5  2233.4  54851.8    55000  1745063286836  1745063292036
read      220.6   103.8    74.4   115.6   126.0   214.7   258.3   277.9   290.8   305.1   320.9   345.7   400.3   565.3  4101.7  60151.5    60000  1745063293540  1745063298743
read      220.9   107.9    74.4   114.8   125.2   212.7   258.4   279.0   292.5   307.6   324.8   350.8   406.8   618.1  3755.3  64946.0    65000  1745063300245  1745063305445
read      219.7    94.4    74.4   115.0   125.5   209.2   257.0   278.7   292.7   308.3   326.5   354.0   411.3   543.1  2653.5  70016.2    70000  1745063306948  1745063312151
read      216.0   107.1    80.4   113.8   123.8   202.2   250.9   274.0   289.1   305.4   324.0   352.7   414.4   572.4  1546.5  75056.6    75000  1745063313655  1745063318864
read      221.0   136.6    74.4   114.2   124.6   205.7   256.0   280.3   296.2   313.8   334.8   365.4   430.6   596.2  3009.0  79864.0    80000  1745063320367  1745063325571
read      220.6   114.6    68.9   114.7   125.4   203.6   253.3   279.1   296.2   314.3   336.0   367.0   432.7   618.8  4129.1  84941.4    85000  1745063327074  1745063332275
read      219.8   121.3    80.4   115.3   125.9   201.7   249.6   275.2   292.6   311.7   334.7   368.3   444.8   713.6  2257.9  90018.8    90000  1745063333778  1745063338979
read      224.1   148.9    74.4   115.6   126.6   203.8   252.4   278.9   296.7   316.6   340.7   376.2   464.7   851.1  5334.5  94998.4    95000  1745063340482  1745063345684
read      225.6   142.5    74.4   116.2   127.9   207.8   255.6   281.7   299.4   319.0   343.1   379.3   465.5   729.3  2136.4 100222.6   100000  1745063347186  1745063352401
read      223.9   137.2    74.4   117.7   129.0   203.2   249.2   275.8   294.5   315.5   341.0   379.4   469.8   846.5  4198.1 105247.0   105000  1745063353905  1745063359104
read      229.1   143.9    80.4   119.1   131.1   209.9   256.2   282.8   301.2   321.6   346.9   387.1   487.0   764.7  4296.0 110090.8   110000  1745063360607  1745063365810
read      237.1   137.9    74.4   120.5   133.1   216.8   264.8   291.6   310.5   332.2   359.9   403.1   552.8   849.1  3986.0 115134.1   115000  1745063367313  1745063372521
read      241.6   142.6    80.4   123.2   136.4   219.5   267.3   294.5   314.0   337.0   367.1   418.1   579.6   852.6  4231.5 119700.7   120000  1745063374024  1745063379225
read      260.5   177.0    80.4   125.8   139.9   232.6   284.8   314.5   336.6   364.0   402.4   485.9   707.3   922.4  3266.5 124813.4   125000  1745063380728  1745063385939
read      291.9   200.2    74.4   130.2   145.6   249.0   309.7   347.7   378.8   419.5   476.2   597.4   901.0  1162.6  6882.8 130049.0   130000  1745063387441  1745063392650
read      285.1   186.8    80.4   133.7   150.0   251.6   306.2   339.2   365.8   400.5   456.2   558.5   790.4  1038.3  4319.6 135010.2   135000  1745063394153  1745063399354
read      309.4   206.2    80.4   137.2   153.9   267.1   331.1   369.6   399.1   438.6   519.5   677.9   842.5   998.1  4826.7 139913.3   140000  1745063400858  1745063406060
read      346.5   218.5    80.4   153.3   175.4   307.3   377.7   418.6   448.2   484.0   538.4   712.4   947.9  1180.4  4922.3 141794.3   145000  1745063407563  1745063412770
read      359.8   217.2    80.4   163.7   188.6   323.2   401.2   442.9   470.3   503.6   548.9   661.1   926.9  1099.1  5886.8 148592.8   150000  1745063414273  1745063419481
read      361.4   244.9    74.4   151.3   174.5   316.3   384.7   449.9   509.8   566.5   622.4   689.6   870.7  1169.7  6538.1 147021.4   155000  1745063420983  1745063426185
read      407.4   217.1    86.8   202.8   230.8   376.4   464.6   506.7   534.8   566.5   606.6   674.7   935.2  1165.7  4809.2 150942.6   160000  1745063427688  1745063432891
read      355.2   232.8    74.4   152.4   174.5   311.9   372.8   426.9   497.9   570.2   629.4   692.7   810.4  1105.1  3806.7 152347.7   165000  1745063434394  1745063439594
read      401.5   233.8    74.4   201.1   232.6   361.2   419.8   470.4   528.1   593.2   649.1   713.4   819.1  1119.4  6276.0 154511.2   170000  1745063441097  1745063446298
read      419.3   226.4    86.8   212.8   240.2   394.3   471.1   509.1   537.0   569.7   613.4   694.4   958.9  1171.2  6315.8 152323.2   175000  1745063447800  1745063453003
read      428.8   227.0    86.8   212.0   242.1   395.8   467.1   513.7   550.6   596.0   651.9   735.8  1000.4  1359.5  5352.0 149826.7   180000  1745063454507  1745063459706
read      424.2   201.6    93.8   219.7   245.5   398.2   486.7   527.5   554.1   584.9   624.1   685.8   910.5  1243.9  5399.5 152136.3   185000  1745063461209  1745063466411
read      438.5   215.0    93.8   225.3   251.3   419.0   493.7   530.5   556.3   588.9   636.6   761.2   950.6  1158.4  6674.1 147286.4   190000  1745063467914  1745063473116
read      419.5   229.6    86.8   212.8   238.1   405.3   470.7   504.2   529.2   558.3   601.0   711.4   916.4  1096.1  7062.0 153789.5   195000  1745063474619  1745063479821
read      414.3   201.4    86.8   213.4   239.0   395.2   475.4   511.9   537.2   566.0   601.3   661.9   880.4  1171.4  6982.6 155669.4   200000  1745063481325  1745063486534
read      411.1   183.5    93.8   218.5   241.1   396.6   478.7   512.3   534.8   559.5   589.6   639.4   847.4  1045.8  4868.3 156979.9   205000  1745063488037  1745063493239
read      420.8   200.6    93.8   220.7   245.6   399.9   483.9   521.1   545.3   574.7   611.2   673.8   898.3  1135.4  6443.3 153411.5   210000  1745063494742  1745063499944
read      424.2   210.5    93.8   220.7   244.4   410.5   487.6   521.7   544.0   571.8   607.3   684.5   919.4  1127.5  5352.7 152187.4   215000  1745063501447  1745063506649
read      446.7   221.9    86.8   227.4   257.7   414.4   499.8   545.9   579.1   618.3   669.8   752.4   969.4  1358.0  6430.1 144649.2   220000  1745063508152  1745063513354
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 81.43%,44.28%,100.00%
