Random waveform, random seed
Total number of intervals = 100 (65954, 161032, 173870, 162591, 123919, 123385, 86985, 121964, 5067, 95654, 43761, 94894, 42349, 169510, 26398, 9653, 156476, 72863, 89080, 159824, 176312, 70855, 107744, 56299, 114013, 62417, 50033, 163584, 8525, 108541, 155104, 118847, 116057, 115764, 94786, 152717, 69334, 91866, 85362, 139105, 23690, 169391, 132501, 156850, 62024, 89103, 18262, 126222, 164101, 119449, 76264, 21379, 18997, 50511, 139025, 83292, 177164, 44111, 40304, 100618, 164718, 174453, 151844, 105613, 126138, 147198, 73630, 14742, 111266, 96165, 55552, 160265, 48276, 38290, 26109, 63017, 145816, 119978, 43686, 72837, 171728, 40786, 151785, 168217, 9035, 94603, 56434, 116728, 29861, 109778, 122194, 13758, 33547, 119452, 137319, 119379, 127228, 93725, 167926, 178433)
Average QPS expected = 98572
Timestamp start: 1746461886581
Timestamp end: 1746462886822

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      246.3   271.5    59.1    98.1   108.6   221.6   271.6   296.4   315.6   338.0   367.7   422.8   706.8  5013.5  8006.2  65927.6    65954
read      323.5   274.5    63.8   133.4   155.6   283.0   346.9   390.7   424.5   464.0   511.7   583.1   796.5  3460.9  8458.8 160836.5   161032
read      368.4   279.6    68.9   171.5   198.6   330.2   397.0   439.7   471.7   509.4   556.3   627.5   800.8  3692.6  8016.4 173972.5   173870
read      347.0   275.7    68.9   151.4   177.1   306.6   367.8   409.1   444.0   488.0   544.3   628.9   822.2  3700.2  7892.8 162516.6   162591
read      243.7   248.4    54.7   106.5   119.2   208.4   258.4   285.9   305.4   328.4   359.5   418.1   950.9  3181.2  8105.3 123929.6   123919
read      244.9   262.7    59.1   104.6   116.5   203.0   254.2   282.4   301.9   324.9   356.2   416.4  1340.3  3235.0  8585.6 123433.0   123385
read      229.5   269.8    54.7    98.6   108.7   194.7   249.7   275.7   292.7   312.3   337.6   382.5   708.2  4387.2  8430.1  87230.4    86985
read      236.8   276.2    59.1   102.4   113.7   197.4   248.4   276.4   295.5   317.8   346.1   398.1   931.1  3476.7  9147.0 122009.6   121964
read      165.0   144.1    68.9   103.3   112.3   151.6   166.2   174.5   182.0   190.5   201.7   221.6   535.6  1978.4  7223.9   5119.0     5067
read      269.8   347.5    54.7    99.9   110.8   204.8   261.8   291.5   313.6   342.3   395.1   579.0  1550.3  4373.7  7987.5  95545.0    95654
read      256.7   337.5    59.1    97.3   107.6   222.0   263.8   286.9   304.5   327.0   356.5   406.9  1276.6  5212.1  7865.7  43924.2    43761
