Total number of intervals = 130 (141540, 9994, 115116, 51626, 160061, 132580, 96338, 169563, 51150, 39660, 130077, 20426, 96677, 91563, 70624, 75995, 41637, 105593, 129375, 124130, 174732, 116883, 179960, 141024, 73565, 159283, 170444, 151785, 164978, 168837, 93450, 107612, 117688, 58128, 64186, 32057, 94960, 112527, 122530, 63866, 78595, 168697, 17288, 38254, 131480, 159952, 39643, 25252, 179526, 16777, 15873, 57328, 94461, 121368, 138195, 127487, 71368, 146915, 46754, 173491, 84290, 145970, 79235, 79929, 12949, 77238, 109857, 39727, 24915, 108768, 112567, 95880, 165452, 82546, 73776, 20922, 38179, 92960, 99589, 20128, 155087, 12198, 63692, 129265, 32750, 26375, 148415, 55494, 74597, 168225, 144018, 172241, 86416, 177359, 171536, 124599, 15102, 40786, 155820, 82522, 11358, 126679, 149586, 126137, 133715, 98483, 158457, 119684, 173047, 154564, 141504, 93030, 39372, 5657, 28987, 122231, 115976, 161315, 24477, 107204, 76743, 15116, 108074, 9912, 141516, 128084, 136666, 166915, 168077, 106988)
Average QPS expected = 98629
Timestamp start: 1746535280606
Timestamp end: 1746536580918

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      308.5   344.1    46.9   113.9   128.5   207.5   249.9   281.9   313.0   370.4   586.9  1070.1  1661.0  2908.0  4814.7 141540.8    88406
read      174.0   105.3    54.7   106.6   119.9   168.2   184.4   193.6   200.0   208.6   218.7   237.3   296.9  1373.0  4833.3  10005.5    34452
read      234.1   234.3    54.7   102.8   113.0   188.1   240.3   273.9   299.6   332.1   379.1   463.0   856.9  2743.1  9163.8 115037.7    94169
read      239.7   276.1    54.7    97.8   107.8   209.3   254.4   279.3   297.5   319.8   348.1   395.9   929.8  4219.7  7947.9  51517.1   111853
read      248.2   258.2    59.1   112.9   125.7   201.1   240.2   264.1   281.9   304.2   335.5   401.2  1478.8  3014.4  5501.4 160345.1   168081
read      206.9   176.4    54.7   102.6   112.3   176.4   216.7   242.6   262.5   285.3   313.6   357.4   632.4  2248.2  5576.3 132665.8   159772
read      216.2   226.9    63.8    98.2   107.4   181.4   233.7   263.7   283.8   306.7   336.6   389.1   582.5  2798.2  8846.7  96234.2   171419
read      277.3   336.4    59.1   118.4   133.2   218.0   256.4   279.3   296.7   319.5   355.5   469.5  1550.7  3580.2  9425.0 169400.8    92986
read      236.4   302.1    59.1    96.4   105.7   204.2   248.9   273.0   290.9   311.6   338.1   381.3   927.8  4368.0  7513.7  51173.4     7645
read      234.0   263.4    54.7    96.5   106.4   206.3   251.2   274.1   290.1   308.3   331.2   371.4  1057.2  2813.9 13651.1  39730.1     8443
read      235.6   301.4    54.7   102.3   112.2   181.2   224.6   251.9   272.6   297.8   334.4   432.3  1379.9  3164.0 14197.7 129980.1   128281
read      201.0   258.7    54.7   100.7   112.3   185.2   209.6   222.7   232.2   244.6   261.0   289.7   577.2  2704.3 15106.3  20418.2   114613
read      239.3   292.9    46.9    98.6   108.2   189.0   245.6   278.7   303.2   333.0   372.4   438.6  1119.8  4346.3  7973.3  96730.1     6430
read      234.1   323.2    54.7    97.6   106.8   188.0   244.7   276.9   300.2   328.4   366.4   426.6   835.9  4291.2 14698.0  91498.9    77661
read      258.5   393.0    54.7    96.3   105.4   205.1   261.8   295.4   319.1   345.7   378.5   432.1  1404.8  6023.8 10928.7  70518.2    39261
read      260.7   434.6    54.7    96.7   106.0   204.3   263.2   297.8   322.9   351.3   386.2   441.1  1305.5  7066.6 14667.9  75982.2    67470
read      245.4   342.6    59.1    96.2   105.9   207.3   253.5   278.0   294.8   314.1   339.0   386.7  1255.7  3921.3 15472.0  41779.1   101262
read      220.2   203.8    54.7    99.1   108.5   181.4   234.0   266.3   289.1   316.2   354.8   421.8   644.5  2702.3  7459.9 105514.9   151181
read      200.8   196.7    59.1   102.0   111.3   172.9   213.4   239.7   259.9   282.2   309.0   346.8   470.7  1905.1  8211.3 129339.0   165928
read      216.6   216.8    50.7   102.4   112.2   179.2   224.7   255.1   277.7   304.7   341.8   424.0   709.6  1484.0 13021.9 124228.5    39192
read      216.0   205.4    50.7   115.5   128.5   194.6   228.5   249.3   265.2   284.5   310.0   349.5   462.4  2308.3  7974.0 174834.1   132255
read      212.8   234.9    54.7   100.5   110.0   176.9   223.9   254.3   276.3   302.2   336.2   398.2   625.8  2110.4 14891.1 116960.2    59473
read      218.7   224.7    54.7   118.3   131.2   198.2   231.4   251.7   267.2   286.0   310.9   349.7   456.2  2724.1 12705.6 179977.8    92433
read      201.1   200.1    54.7   103.4   113.1   174.2   212.3   236.5   255.7   277.7   305.4   344.6   467.4  2137.9  8121.5 140790.6   160581
