timestamp,memcached_cores_usage
1746532415,1
1746532424,2
1746532440,2
1746532442,1
1746532444,1
1746532446,1
1746532448,1
1746532451,2
1746532454,2
1746532456,1
1746532458,2
1746532461,2
1746532463,2
1746532465,2
1746532467,2
1746532469,2
1746532471,2
1746532473,1
1746532475,1
1746532477,1
1746532479,1
1746532481,1
1746532483,1
1746532485,1
1746532487,1
1746532490,2
1746532492,2
1746532494,2
1746532496,2
1746532498,2
1746532500,2
1746532502,1
1746532504,1
1746532506,1
1746532508,1
1746532510,1
1746532512,1
1746532514,1
1746532516,1
1746532519,1
1746532521,2
1746532523,2
1746532525,1
1746532527,2
1746532529,2
1746532531,2
1746532533,2
1746532535,2
1746532537,2
1746532539,2
1746532542,2
1746532544,1
1746532546,2
1746532548,2
1746532550,2
1746532552,2
1746532554,2
1746532556,2
1746532558,2
1746532560,2
1746532562,1
1746532565,1
1746532567,1
1746532569,1
1746532571,2
1746532573,2
1746532575,1
1746532577,2
1746532583,2
1746532586,2
1746532588,2
1746532590,2
1746532592,1
1746532594,1
1746532596,1
1746532598,1
1746532600,2
1746532602,2
1746532604,1
1746532606,2
1746532608,2
1746532610,2
1746532613,2
1746532615,2
1746532617,2
1746532619,2
1746532621,2
1746532623,1
1746532625,1
1746532627,1
1746532629,1
1746532631,1
1746532633,1
1746532635,1
1746532638,1
1746532640,1
1746532642,1
1746532644,1
1746532646,1
1746532648,1
1746532650,2
1746532652,2
1746532654,2
1746532656,2
1746532658,2
1746532660,2
1746532662,1
1746532665,1
1746532667,1
1746532669,1
1746532671,1
1746532673,1
1746532675,1
1746532677,1
1746532679,1
1746532681,1
1746532683,1
1746532685,1
1746532687,1
1746532690,2
1746532692,2
1746532694,2
1746532696,2
1746532698,2
1746532700,2
1746532702,1
1746532704,1
1746532706,1
1746532708,1
1746532710,1
1746532712,1
1746532714,1
1746532717,1
1746532719,1
1746532721,2
1746532723,2
1746532725,2
1746532727,2
1746532729,2
1746532731,2
1746532733,1
1746532736,2
1746532738,2
1746532740,1
1746532742,1
1746532744,1
1746532746,1
1746532748,1
1746532750,1
1746532752,1
1746532754,1
1746532764,2
1746532766,2
1746532768,2
1746532770,2
1746532772,1
1746532774,1
1746532776,1
1746532778,1
1746532780,1
1746532782,1
1746532784,2
1746532787,2
1746532789,1
1746532791,2
1746532793,2
1746532795,2
1746532797,2
1746532799,2
1746532801,2
1746532803,2
1746532805,2
1746532807,2
1746532809,2
1746532811,2
1746532813,1
1746532815,1
1746532817,1
1746532819,1
1746532821,2
1746532823,2
1746532825,1
1746532827,2
1746532829,2
1746532831,1
1746532833,1
1746532835,1
1746532837,1
1746532839,1
1746532841,2
1746532843,2
1746532845,2
1746532847,2
1746532849,2
1746532851,1
1746532854,1
1746532856,1
1746532858,1
1746532860,1
1746532862,2
1746532864,2
1746532866,1
1746532868,2
1746532870,2
1746532872,1
1746532874,1
1746532876,1
1746532878,1
1746532880,1
1746532882,1
1746532884,1
1746532886,1
1746532888,1
1746532890,2
1746532892,2
1746532894,1
1746532896,2
1746532898,2
1746532900,2
1746532902,2
1746532904,2
1746532906,2
1746532908,2
1746532910,2
1746532912,1
1746532915,2
1746532917,2
1746532919,1
1746532921,2
1746532923,2
1746532925,2
1746532927,2
1746532929,2
1746532931,2
1746532933,2
1746532935,2
1746532937,2
1746532939,2
1746532941,2
1746532943,1
1746532945,1
1746532947,1
1746532949,1
1746532951,2
1746532953,2
1746532955,2
1746532957,2
1746532959,2
1746532985,2
1746532987,2
1746532989,2
1746532991,2
1746532993,1
1746532995,1
1746532997,1
1746532999,1
1746533001,1
1746533003,1
1746533005,1
1746533007,1
1746533009,2
1746533011,2
1746533013,2
1746533015,2
1746533017,2
1746533019,2
1746533024,1
1746533026,1
1746533028,1
1746533030,2
1746533032,2
1746533034,2
1746533036,2
1746533038,2
1746533040,2
1746533042,1
1746533044,1
1746533046,1
1746533048,1
1746533050,2
1746533052,2
1746533054,2
1746533056,2
1746533058,2
1746533060,2
1746533062,2
1746533064,2
1746533066,2
1746533068,2
1746533070,2
1746533072,2
1746533074,2
1746533076,2
1746533078,2
1746533080,2
1746533082,2
1746533084,2
1746533086,2
1746533088,2
1746533090,2
1746533092,1
1746533095,1
1746533097,1
1746533099,1
1746533101,1
1746533103,1
1746533105,1
1746533107,1
1746533109,1
1746533111,1
1746533113,1
1746533115,1
