Random waveform, random seed
Total number of intervals = 130 (33653, 143834, 57742, 54606, 18963, 12765, 141945, 152668, 133604, 160144, 125608, 171001, 63716, 8437, 20993, 6457, 168118, 80787, 87695, 153051, 83958, 5752, 52865, 150508, 47425, 72904, 61371, 142633, 165753, 57039, 141291, 11518, 11531, 43631, 13695, 27830, 112961, 66404, 34652, 142528, 165951, 62615, 47354, 108454, 99638, 146887, 85431, 73851, 67942, 155159, 162638, 36731, 74311, 83795, 66616, 94296, 147212, 128926, 111506, 113454, 128555, 174538, 179750, 111985, 105961, 21464, 40560, 30369, 82404, 131029, 101205, 59740, 35310, 166544, 66578, 150440, 139207, 160853, 131515, 41514, 140376, 48337, 7849, 126041, 94573, 72193, 13272, 93341, 15249, 66611, 172854, 60335, 48429, 152398, 136107, 49974, 44905, 71813, 109358, 58771, 9950, 85594, 15183, 176153, 24634, 118965, 177662, 20753, 170066, 96357, 131214, 56239, 166407, 35849, 123079, 10220, 67288, 5825, 51365, 140408, 61356, 65886, 66660, 136237, 122950, 125690, 146081, 20920, 173472, 126801)
Average QPS expected = 89587
Timestamp start: 1746541907832
Timestamp end: 1746543208089

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      229.6   202.0    50.7   106.2   118.4   216.1   251.5   269.0   281.4   295.6   316.1   350.0   518.7  3288.7  7544.0  33600.4    33653
read      272.7   324.4    59.1   111.6   124.5   206.5   250.1   276.0   296.4   322.4   363.9   538.0  1601.3  3379.1  7864.4 143927.1   143834
read      257.5   307.0    59.1   101.5   112.0   219.4   273.9   301.8   321.2   345.8   378.6   435.2  1082.4  5204.2  7833.7  57880.9    57742
read      291.7   468.4    59.1   100.5   111.5   228.9   287.6   319.5   342.0   367.8   400.9   464.5  1985.3  7056.5  9460.4  54587.5    54606
read      228.0   169.5    59.1   107.4   121.2   209.7   243.2   261.0   272.7   288.1   308.7   345.9   797.5  2306.5  5137.5  18959.0    18963
read      217.4   295.5    63.8   109.3   123.5   192.5   217.2   232.7   244.7   258.8   277.3   316.1   836.7  2603.4 14415.9  12745.0    12765
read      285.5   344.3    54.7   112.4   126.1   211.9   255.8   282.8   304.3   332.8   379.8   724.5  1605.8  3525.0  8257.2 141932.8   141945
read      251.4   276.7    50.7   116.4   130.3   209.1   251.5   277.8   298.0   322.8   358.7   429.2  1007.3  3457.7  7891.6 152655.2   152668
read      227.7   223.7    54.7   106.2   117.1   188.1   231.9   261.2   283.1   308.9   341.2   399.4   888.0  3136.5  7329.8 133622.6   133604
read      232.3   253.0    54.7   112.3   125.0   197.1   235.9   261.4   280.2   303.9   335.3   390.4   797.6  3290.4  7974.3 160042.3   160144
read      224.2   224.8    54.7   103.9   114.2   184.4   229.8   259.7   281.6   307.2   338.2   392.3   874.9  3188.2  7419.8 125685.4   125608
read      235.5   242.0    54.7   116.5   130.2   203.9   242.2   266.0   283.9   306.1   336.3   389.9   671.2  3354.4  7750.8 170983.5   171001
read      251.2   343.5    54.7    98.6   108.7   209.4   264.3   293.2   313.2   337.2   368.8   426.1  1090.4  5830.6  8593.8  63810.5    63716
read      192.2   142.6    59.1   104.1   117.0   175.5   196.5   208.8   217.7   231.3   251.2   291.6   646.8  1874.2  5043.5   8450.6     8437
read      227.6   236.8    63.8   102.7   115.3   203.5   235.6   254.2   267.4   283.1   304.9   346.7   920.4  2945.2  8116.8  20929.1    20993
read      191.8   215.0    59.1   103.4   115.3   169.2   188.2   199.8   209.4   221.0   239.7   281.8   760.2  2753.3  7922.9   6455.6     6457
read      292.9   321.3    54.7   124.9   141.6   231.1   273.0   299.5   320.7   350.9   401.4   577.7  1544.6  3483.2  8036.2 167877.6   168118
read      252.6   350.1    54.7    99.3   109.3   202.3   262.1   294.7   317.3   344.3   382.0   447.5  1196.6  6098.6 10638.7  80610.1    80787
read      273.7   373.9    54.7   100.7   111.5   210.9   277.2   317.7   345.8   378.5   420.0   494.1  1434.2  5821.4 10256.9  87754.3    87695
read      259.9   298.3    54.7   112.5   125.8   206.5   249.6   275.6   296.2   321.3   360.2   458.9  1476.9  3591.4  8086.6 153195.4   153051
read      254.2   330.7    54.7    99.6   109.8   203.3   265.4   300.3   324.4   353.7   392.6   458.8  1104.5  5406.1  9272.1  83837.1    83958
read      178.9   150.8    68.9   101.6   112.4   162.7   181.3   192.2   200.4   211.9   228.4   262.3   585.5  2039.0  7101.6   5778.6     5752
read      278.8   423.4    54.7    98.0   108.4   217.9   276.4   307.4   327.5   350.8   382.5   448.7  1953.3  6223.2  8771.6  52865.9    52865
read      241.8   266.7    54.7   108.5   120.1   193.9   233.8   259.2   278.3   302.9   336.3   402.4  1443.7  3287.1  7237.7 150582.5   150508
read      261.8   376.7    50.7    99.4   109.8   214.7   263.8   290.0   308.5   329.9   358.7   412.8  1578.5  6268.7  8353.1  47486.1    47425
read      280.8   417.1    54.7    99.0   109.6   215.7   279.7   316.7   342.5   372.6   411.9   489.2  1602.8  6670.5  9706.6  72827.9    72904
read      284.9   464.1    54.7    98.3   108.7   218.9   279.4   313.1   336.1   362.6   396.9   464.9  1850.7  7059.6 10715.2  61365.3    61371
read      248.6   276.2    54.7   109.3   121.0   197.7   240.8   267.8   287.9   312.6   346.0   423.2  1462.9  3340.5  7565.2 142588.0   142633
read      227.4   196.8    59.1   115.3   128.7   200.1   237.2   261.0   278.2   299.7   328.5   375.3   619.3  2773.3  5984.8 165847.0   165753
read      248.4   303.4    50.7    98.5   108.6   213.0   265.6   293.6   313.4   336.8   367.1   417.7   971.4  5194.9  8271.6  56898.5    57039
read      269.4   307.5    54.7   110.1   122.4   205.3   250.8   277.4   298.1   324.1   364.6   530.9  1559.0  3188.7  7476.3 141111.0   141291
read      200.3   215.9    59.1   107.6   121.2   183.7   205.4   217.8   228.1   240.4   258.5   289.8   521.2  2368.1 10596.0  11490.7    11518
read      194.4   129.8    59.1   103.9   117.2   182.3   205.2   217.8   228.2   240.4   258.1   289.5   484.7  2076.7  3612.2  11521.2    11531
read      256.1   302.2    54.7    99.4   110.4   219.1   273.8   301.6   319.2   339.8   366.4   413.4  1155.6  4634.9  8131.2  43566.8    43631
read      201.7   151.8    50.7   104.5   118.1   188.7   213.2   227.6   238.3   252.3   269.7   298.1   522.8  2088.9  7408.6  13686.0    13695
read      235.3   188.0    59.1   101.8   113.7   214.4   255.9   276.1   290.4   306.9   328.1   368.1   936.2  2510.1  4319.4  27870.4    27830
read      265.3   315.9    54.7   105.5   116.7   200.0   256.0   291.5   319.1   357.0   418.1   556.7  1420.7  3740.9  9457.9 112967.9   112961
read      251.0   321.5    54.7    99.5   109.6   210.9   268.8   298.3   318.8   343.5   375.4   429.2   960.0  5489.8  8713.7  66352.8    66404
read      246.3   267.5    59.1   100.4   111.7   215.9   263.7   286.6   302.1   319.2   342.3   384.3  1123.5  3736.6  8212.0  34664.6    34652
read      235.2   253.4    59.1   107.4   118.6   190.8   233.8   260.9   280.3   304.0   335.2   390.4  1404.6  2784.6  7964.7 142301.7   142528
read      228.3   210.6    59.1   116.0   129.5   201.1   238.5   261.9   278.7   299.5   327.0   371.2   557.8  3030.1  7175.1 166057.7   165951
read      252.5   339.9    54.7    98.9   108.8   213.3   270.1   299.9   320.5   345.5   377.5   429.8   974.0  5575.4 10576.9  62758.0    62615
read      256.2   296.0    54.7    99.4   110.0   218.6   274.9   304.2   322.3   343.7   371.5   423.8  1093.4  4299.8  7917.6  47317.1    47354
read      236.0   187.3    54.7   104.8   115.6   194.8   249.3   284.7   310.4   340.2   382.4   464.6   785.2  2113.0  5502.1 108542.6   108454
read      240.5   333.9    54.7   102.7   112.9   194.4   251.8   287.0   312.2   341.9   382.3   451.7   805.7  3329.4 11969.8  99676.1    99638
read      222.3   184.8    59.1   110.7   122.3   192.6   232.6   258.5   277.6   301.1   331.2   378.2   645.8  2431.6  4382.0 146603.3   146887
read      250.0   275.6    59.1   102.1   112.4   204.9   268.0   304.2   329.6   359.9   398.9   460.4   871.1  4002.4  9714.4  85531.3    85431
read      264.6   361.5    54.7   100.0   110.5   216.6   281.9   318.7   344.6   373.6   409.0   465.4  1079.1  6168.5 10984.8  73963.2    73851
read      262.6   329.3    59.1    99.1   109.4   217.2   280.1   315.7   339.8   367.1   400.2   454.3  1152.8  5550.6  8651.4  67891.7    67942
read      279.5   317.4    59.1   117.6   132.2   220.4   263.6   288.5   307.7   332.3   369.3   487.2  1565.9  3396.7  8150.5 155178.8   155159
read      224.9   225.6    50.7   114.6   127.8   198.7   236.1   260.2   277.4   298.9   326.8   371.3   522.6  2738.7 10467.1 162601.0   162638
read      229.8   255.9    59.1   102.2   113.0   213.1   253.8   274.6   289.7   306.7   327.9   363.4   546.0  2615.5 13348.5  36743.6    36731
read      261.4   327.9    54.7    99.1   109.4   214.1   279.4   315.8   341.3   369.9   404.3   460.3  1115.7  5651.7  9049.8  74396.1    74311
read      259.6   342.5    59.1    99.6   109.8   207.5   273.0   311.8   339.1   369.0   403.8   459.4  1184.3  5389.2 10512.2  83934.8    83795
read      255.8   333.5    54.7    97.9   107.6   213.3   274.7   308.8   332.0   357.8   389.2   436.3   997.8  5762.9  9834.3  66679.4    66616
read      238.2   265.7    54.7   100.7   110.6   193.9   254.9   291.1   316.8   347.2   386.8   447.2   714.5  3444.2  9188.9  94257.5    94296
read      227.0   222.9    54.7   107.9   118.9   188.4   228.8   253.8   272.7   295.7   325.6   376.0  1309.2  2592.3  7009.9 147456.1   147212
read      207.7   145.0    54.7   103.2   113.0   177.7   219.1   247.5   269.2   294.1   323.7   368.8   651.9  1563.5  4732.2 129084.5   128926
read      231.0   214.2    54.7   103.5   113.6   187.4   239.0   273.2   298.3   327.9   368.4   450.0   801.1  2527.4  7521.1 111571.6   111506
read      237.0   210.4    54.7   103.4   113.8   190.4   245.7   282.2   309.9   344.3   396.2   483.9   797.3  2373.9  6939.4 113317.8   113454
read      210.1   166.7    54.7   102.1   111.8   176.9   219.0   248.4   270.2   295.2   325.9   373.5   702.1  2171.3  4637.8 128511.0   128555
