timestamp,memcached_cores_usage
1747070580,1
1747070583,1
1747070585,2
1747070587,2
1747070589,2
1747070591,2
1747070593,2
1747070595,2
1747070597,2
1747070599,2
1747070601,2
1747070604,2
1747070606,2
1747070608,1
1747070610,1
1747070612,1
1747070614,1
1747070616,2
1747070618,2
1747070620,2
1747070622,2
1747070624,2
1747070626,2
1747070628,2
1747070630,2
1747070632,2
1747070635,2
1747070637,2
1747070639,2
1747070641,2
1747070643,2
1747070645,2
1747070647,2
1747070649,2
1747070651,2
1747070653,2
1747070655,2
1747070657,2
1747070659,2
1747070661,2
1747070664,2
1747070666,2
1747070668,2
1747070670,2
1747070672,2
1747070674,2
1747070676,2
1747070678,2
1747070680,2
1747070682,2
1747070684,2
1747070686,2
1747070689,2
1747070691,2
1747070693,2
1747070695,2
1747070697,2
1747070699,2
1747070701,2
1747070703,2
1747070705,2
1747070707,2
1747070709,2
1747070711,2
1747070714,2
1747070716,2
1747070718,2
1747070720,2
1747070722,2
1747070724,2
1747070726,2
1747070728,2
1747070730,2
1747070732,2
1747070734,2
1747070736,2
1747070738,2
1747070741,2
1747070743,2
1747070745,2
1747070747,2
1747070749,2
1747070751,2
1747070753,2
1747070755,2
1747070757,1
1747070759,2
1747070762,2
1747070764,1
1747070766,2
1747070768,2
1747070770,2
1747070772,2
1747070774,2
1747070776,2
1747070778,2
1747070780,2
1747070783,2
1747070785,2
1747070787,1
1747070789,1
1747070791,1
1747070793,1
1747070795,1
1747070797,1
1747070799,1
1747070801,1
1747070803,1
1747070806,2
1747070808,2
1747070810,2
1747070812,2
1747070814,2
1747070816,2
1747070818,1
1747070820,1
1747070822,1
1747070824,1
1747070827,1
1747070829,1
1747070831,1
1747070833,1
1747070835,2
1747070837,2
1747070839,2
1747070841,2
1747070844,1
1747070846,2
1747070848,2
1747070850,2
1747070852,2
1747070854,2
1747070856,2
1747070858,1
1747070860,2
1747070862,2
1747070864,2
1747070866,2
1747070868,2
1747070870,2
1747070872,2
1747070874,2
1747070876,2
1747070878,2
1747070880,2
1747070882,2
1747070884,2
1747070886,2
1747070888,1
1747070890,1
1747070892,1
1747070894,1
1747070896,1
1747070898,1
1747070900,1
