Random waveform, supplied seed
Total number of intervals = 90 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820)
Average QPS expected = 95608
Timestamp start: 1747069603132
Timestamp end: 1747070503436

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      201.8   132.4    86.8   131.1   145.8   193.9   208.8   216.8   223.5   231.0   241.2   259.6   342.0  1858.8  6367.2   8196.2     8195
read      255.9   388.8    68.9   114.3   127.9   207.4   247.1   270.0   287.2   308.0   335.9   384.6  1624.4  5210.0 11993.6 158291.1   158594
read      220.1   217.5    63.8   109.4   120.3   188.0   227.0   250.9   269.6   292.1   320.3   367.0   782.9  2941.6  7280.4 149874.8   149766
read      206.0   123.5    80.4   128.2   142.4   198.1   214.9   224.3   230.9   238.6   250.9   272.6   409.6  1872.5  4034.5  10369.0    10382
read      310.1   353.0    68.9   132.5   151.4   251.5   294.4   318.9   338.1   362.0   396.4   493.8  1565.6  4491.8  8973.4 170313.4   170548
read      228.1   230.3    68.9   112.4   124.7   196.3   236.2   261.7   280.6   303.4   332.8   378.4   606.7  3355.0  7301.0 150554.4   150565
read      222.7   204.6    68.9   109.1   119.9   190.5   232.8   259.4   279.7   304.1   334.7   381.6   630.9  2681.6  7660.8 136976.1   137144
read      227.0   230.8    68.9   110.7   122.3   193.6   234.2   260.2   279.7   303.5   333.5   380.4   674.9  3313.0  7321.9 143672.8   143496
read      227.9   231.0    68.9   111.0   122.7   194.5   235.4   261.8   281.5   305.3   335.7   383.2   650.8  3337.7  7927.7 144692.6   144743
read      216.6   186.1    68.9   105.7   115.7   185.4   230.9   259.6   281.7   307.1   337.7   383.0   542.9  2159.6  6410.9 116564.9   116745
read      228.2   236.0    68.9   108.2   119.0   190.7   234.1   261.2   281.8   306.6   338.1   388.6  1033.1  3029.4  8011.1 129359.2   129314
read      234.5   262.2    68.9   111.4   123.3   197.0   239.4   266.2   286.2   309.9   340.1   389.6  1113.5  3299.5  8385.2 144730.2   144723
read      222.3   190.5    68.9   106.3   116.4   187.2   233.1   262.1   284.1   310.0   341.9   393.6   775.4  2247.5  6552.0 117550.2   117379
read      220.6   213.3    68.9   106.0   116.3   186.6   231.7   259.7   281.4   306.7   338.0   386.7   689.1  2584.5  8149.8 119988.8   119931
read      229.1   226.1    68.9   109.1   119.9   191.7   234.6   261.5   281.9   306.7   338.3   389.7  1088.2  2887.2  6932.7 131981.9   132052
read      228.7   232.0    68.9   111.5   123.4   195.6   236.3   262.3   281.7   305.2   335.1   382.2   706.5  3329.6  7049.2 143406.8   143350
read      233.6   229.3    68.9   111.7   123.7   197.5   239.7   266.0   285.8   309.5   340.0   390.5  1104.1  3138.6  7002.3 143432.5   143518
read      254.8   225.4    68.9   128.2   143.8   226.5   266.1   289.5   307.0   328.2   357.5   404.8   984.5  2709.2  7108.9 173088.1   172981
read      225.6   212.3    68.9   105.3   115.0   191.2   244.2   273.8   295.6   319.4   348.3   393.4   576.5  3064.4  7547.1  94064.0    94027
read      254.5   236.4    68.9   128.1   143.7   226.7   267.3   290.9   308.6   329.8   358.7   404.1   665.8  3238.8  8045.8 170121.5   170019
read      270.6   241.3    68.9   139.4   157.4   246.8   287.1   310.1   327.2   348.0   377.6   427.5   590.5  3367.8  7914.9 179094.9   179090
read      269.3   393.8    74.4   110.4   121.8   230.3   278.6   305.8   324.0   344.9   372.6   416.4  1054.2  6561.2 11175.7  47190.5    47130
read      244.6   209.4    74.4   120.7   134.7   225.2   254.0   271.4   284.8   300.0   319.4   355.5   875.3  2838.4  7724.2  19518.4    19439
read      298.1   379.2    68.9   113.3   126.8   216.4   260.4   287.7   309.6   338.9   388.7   986.4  1625.3  4053.9  8596.3 128853.8   128963
read      248.5   248.7    80.4   119.7   133.1   227.7   257.8   274.9   289.4   305.7   325.4   361.6   875.5  3845.2  8041.5  23803.0    23787
read      283.4   424.1    68.9   105.9   116.7   226.5   285.5   320.2   343.4   370.1   401.4   453.0  1542.4  6608.5  9647.3  61936.3    61848
read      233.2   249.3    68.9   105.9   116.0   193.3   246.2   277.5   301.2   328.0   363.6   422.4   697.4  3810.6  8615.8 101937.0   101968
read      213.3   139.0    63.8   105.1   115.0   185.4   233.7   264.0   286.6   312.6   343.5   390.8   513.7  1085.6  3342.2 108872.1   108767
read      214.4   135.8    68.9   104.8   114.4   187.7   239.1   269.3   291.2   315.7   344.5   388.3   482.9   996.4  4598.7  97123.9    97139
read      228.5   169.9    68.9   118.9   132.7   206.6   244.6   267.9   285.5   306.5   333.8   376.2   495.6  2323.5  6347.6 158588.7   158594
read      215.6   163.7    68.9   111.5   123.0   191.7   230.6   255.1   274.0   297.3   326.6   370.6   474.6  1686.1  3506.5 141490.9   141240
read      242.8   192.5    74.4   111.9   123.4   228.6   270.9   294.9   311.4   329.8   352.3   388.6   493.0  3262.8  6374.8  41443.1    41405
read      265.8   325.2    68.9   107.1   117.6   227.5   286.3   320.1   342.3   367.5   396.9   438.4   893.3  6085.3  8868.1  58124.7    57997
read      235.2   245.0    68.9   110.0   121.1   194.7   238.0   264.7   284.9   309.5   340.9   394.1  1367.3  2657.0  5998.1 133610.5   133577
read      252.3   273.0    68.9   108.3   118.8   224.7   275.4   306.1   326.1   348.2   377.0   419.4   600.4  4641.2  8545.1  53908.2    53832
read      239.4   257.3    68.9   109.5   120.6   194.7   237.7   263.9   283.5   307.9   340.1   398.1  1430.2  2709.0  7716.7 139617.7   139832
read      225.0   166.6    68.9   120.0   133.8   205.1   240.7   262.9   279.2   298.9   325.0   367.1   472.1  2094.1  5326.5 170450.9   170515
read      207.4   144.7    68.9   105.8   115.8   181.8   222.5   249.0   269.2   293.6   323.8   369.5   486.0  1322.5  4304.8 128556.2   128494
read      222.7   147.1    74.4   119.1   132.2   215.6   241.0   254.9   266.1   278.3   296.2   323.3   425.5  1779.3  7002.4  20869.1    20789
read      256.3   325.4    63.8   103.6   113.7   220.8   278.3   312.8   335.4   360.7   391.0   432.2   671.5  6024.5 10427.8  63818.4    63647
read      258.6   325.2    68.9   103.3   113.3   220.9   279.0   313.8   336.6   362.3   393.2   435.2   780.3  5358.4  9440.6  64707.6    64802
read      256.2   320.6    68.9   104.9   115.2   222.8   277.5   310.2   331.3   354.4   382.9   423.5   680.2  5557.4 10301.5  55757.0    55719
read      277.1   275.9    68.9   128.9   145.5   236.1   277.5   300.8   318.0   339.8   369.7   429.1  1468.9  3047.9  8094.7 174099.9   174179
read      207.2   135.0    68.9   102.8   112.1   181.3   229.1   258.4   279.2   303.6   332.7   375.2   478.8   896.6  4294.0 106442.0   106356
read      233.6   158.1    68.9   125.6   140.5   215.7   251.1   271.9   287.7   306.6   331.6   371.9   488.8  2057.1  4527.9 179060.0   178750
read      206.8   137.0    68.9   103.2   112.4   181.3   229.4   258.9   279.5   304.0   332.7   373.9   465.4   813.0  3973.1 105653.0   105831
read      206.4   116.6    68.9   103.5   112.9   181.1   227.4   256.7   277.4   302.3   331.8   374.6   473.6   849.4  3098.3 110506.8   110667
read      203.8   121.9    86.8   130.4   144.9   196.2   212.9   222.2   229.4   237.0   250.6   271.8   354.9  1611.0  7303.3   8834.5     8803
read      260.2   291.3    74.4   108.2   119.3   227.9   280.6   310.9   330.0   350.8   376.8   418.8   870.4  5158.8  7887.1  45433.3    45662
read      246.0   224.2    74.4   111.4   123.5   224.0   264.3   286.4   302.6   319.3   341.0   376.3   820.2  3301.5  7616.8  30857.4    30867
read      258.1   332.4    68.9   107.1   117.9   224.4   275.1   305.6   324.5   345.0   370.8   409.2   735.8  5637.0 10181.3  45622.3    45656
read      218.5   178.8    68.9   104.3   113.8   186.7   238.1   268.8   290.8   316.0   346.4   397.6   550.6  1749.1  7822.2 100925.8   100938
read      209.5   147.0    68.9   106.8   117.0   183.9   224.6   250.4   269.8   293.5   322.8   367.4   486.9  1550.2  4135.0 132352.7   132360
read      251.4   306.8    68.9   105.0   114.9   216.9   272.3   304.9   327.2   353.1   386.3   433.5   683.7  4992.4 10431.1  67526.0    67591
read      248.1   232.5    68.9   110.5   122.1   224.3   267.7   292.2   308.8   326.4   347.1   383.9   782.1  3572.9  7586.3  34010.9    33910
read      235.9   243.3    68.9   103.7   113.4   198.7   256.5   288.2   311.6   338.8   374.0   430.5   641.4  3159.6  9245.8  85725.4    85729
read      236.7   235.9    80.4   124.3   139.9   211.1   234.3   248.9   259.6   271.9   291.4   328.0  1012.6  3136.1  7952.7  12805.3    12884
read      280.9   382.5    68.9   106.6   117.5   229.0   283.5   315.5   336.1   359.6   390.4   443.1  1712.0  5656.4  8028.5  45632.8    45621
read      258.9   254.5    74.4   108.8   120.3   232.0   280.7   308.6   326.3   345.8   371.7   414.9   752.7  3778.8  7573.5  37025.1    36938
read      266.3   337.9    68.9   104.6   115.1   227.4   285.0   319.1   341.4   366.7   398.1   445.0   898.3  6388.6  8754.2  56877.9    56902
read      230.2   201.0    68.9   103.9   113.7   191.0   246.0   279.6   306.0   336.9   377.8   445.3   644.3  2249.6  7957.4 102331.4   102243
read      216.6   155.9    80.4   124.7   140.0   208.4   229.1   240.5   249.6   260.4   273.9   299.2   386.7  2178.8  7647.1  13977.0    14085
read      227.4   205.0    68.9   103.2   112.9   195.0   250.9   282.3   305.4   332.1   366.1   420.4   559.5  1777.9  8137.8  94221.9    94103
read      237.4   206.9    68.9   105.4   115.6   217.0   266.4   292.8   312.6   335.3   363.4   405.0   516.1  2868.7  7704.6  58158.2    58175
read      443.7   805.1    68.9   153.3   175.5   248.6   285.7   313.6   340.8   391.0   723.1  1450.4  4797.9  8901.2 10232.7 151087.4   151312
read      240.1   234.4    63.8   102.7   112.8   207.3   265.9   302.4   328.0   355.7   389.0   433.6   551.8  3809.3  7636.9  83149.6    83333
read      443.8   891.1    74.4   157.8   181.3   254.9   289.9   313.5   334.2   364.8   425.2  1379.9  6016.7  9063.5 10684.4 165073.5   165153
read      403.8   773.6    68.9   131.0   149.8   230.3   272.2   306.3   340.9   404.2   583.6  1171.9  4551.0  8527.5 10711.2 123977.0   123975
read      239.6   137.4    74.4   116.2   129.3   229.6   268.9   290.5   305.9   322.6   342.7   372.2   447.8  2023.0  3690.5  28569.7    28449
read      208.2   106.8    74.4   124.2   139.4   204.9   224.8   235.0   243.9   253.3   267.0   288.4   344.3   858.9  6043.0  14873.7    14903
read      218.7    81.6    68.9   111.2   123.1   218.2   250.4   266.8   278.0   292.7   311.6   338.6   393.0   540.3  1650.5  31221.6    31189
read      220.1    86.7    68.9   107.1   118.0   216.8   256.1   275.0   289.2   305.3   324.9   354.4   415.2   536.1  1995.1  40593.5    40636
read      219.3   127.1    63.8   101.1   110.9   201.1   254.2   283.0   303.5   326.2   352.7   391.1   461.7   645.0  4083.9  80735.7    80574
read      290.1   284.1    68.9   130.3   147.7   234.9   276.3   303.8   325.6   355.4   398.1   497.0  1518.3  3199.3  7262.3 168764.5   168820
read      217.5   134.0    63.8   116.3   129.5   200.4   236.7   259.6   275.6   296.0   321.7   363.2   454.9   967.5  3130.3 162865.6   162621
read      204.8   111.2    68.9   102.5   111.6   182.0   230.0   258.5   277.4   299.5   326.6   366.9   450.7   714.5  2907.8 101750.8   101621
read      220.6   109.8    68.9   104.2   114.4   209.9   257.7   281.0   297.4   317.0   340.5   373.2   437.5   778.7  2936.6  58613.4    58592
