timestamp,memcached_cores_usage
1747075842,2
1747075844,2
1747075846,2
1747075848,2
1747075851,2
1747075853,1
1747075855,1
1747075857,2
1747075859,2
1747075861,2
1747075864,2
1747075866,2
1747075868,2
1747075870,2
1747075872,2
1747075874,2
1747075876,2
1747075878,2
1747075880,2
1747075882,2
1747075884,2
1747075886,2
1747075888,2
1747075890,2
1747075893,2
1747075895,2
1747075897,2
1747075899,2
1747075901,2
1747075903,2
1747075905,2
1747075907,2
1747075909,2
1747075911,2
1747075913,2
1747075915,2
1747075917,2
1747075920,2
1747075922,2
1747075924,2
1747075926,2
1747075928,1
1747075930,2
1747075932,2
1747075934,2
1747075936,2
1747075938,2
1747075940,2
1747075943,2
1747075945,1
1747075947,1
1747075949,1
1747075951,2
1747075953,2
1747075955,2
1747075957,2
1747075959,1
1747075961,1
1747075963,1
1747075965,1
1747075968,2
1747075970,2
1747075972,1
1747075974,2
1747075976,2
1747075978,1
1747075980,2
1747075982,2
1747075984,2
1747075987,2
1747075989,2
1747075991,2
1747075993,1
1747075995,1
1747075997,1
1747075999,1
1747076001,2
1747076003,2
1747076005,2
1747076008,1
1747076010,1
1747076012,2
1747076014,2
1747076016,2
1747076018,2
1747076020,2
1747076022,2
1747076024,2
1747076027,2
1747076029,1
1747076031,1
1747076033,1
1747076035,1
1747076037,1
1747076039,2
1747076041,2
1747076043,1
1747076045,1
1747076047,2
1747076050,2
1747076052,2
1747076054,2
1747076056,2
1747076058,2
1747076060,2
1747076062,2
1747076064,1
1747076067,2
1747076069,2
1747076071,1
1747076073,1
1747076075,1
1747076077,1
1747076079,1
1747076081,1
1747076083,1
1747076086,1
1747076088,1
1747076090,1
1747076092,2
1747076094,2
1747076096,2
1747076098,2
1747076100,2
1747076102,1
1747076105,1
1747076107,1
1747076109,1
1747076111,1
1747076113,1
1747076115,1
1747076117,1
1747076119,1
1747076122,1
1747076124,1
1747076126,1
1747076128,1
1747076130,1
1747076132,1
1747076134,1
1747076136,2
1747076138,2
1747076140,1
1747076143,1
1747076145,1
1747076147,2
1747076149,2
1747076151,1
1747076153,1
1747076155,1
1747076157,2
1747076159,2
1747076161,2
1747076163,1
1747076165,1
1747076167,2
1747076169,2
1747076171,2
1747076173,2
1747076175,2
1747076177,2
1747076179,1
1747076181,1
1747076183,1
1747076185,1
1747076187,1
1747076189,1
1747076191,1
1747076194,1
1747076196,1
1747076198,2
1747076200,2
1747076202,2
1747076204,2
1747076206,2
1747076208,2
1747076210,2
1747076212,2
1747076214,1
1747076216,1
1747076218,1
1747076220,1
1747076222,2
1747076224,2
1747076226,2
1747076228,2
1747076230,2
1747076232,2
1747076234,2
1747076236,2
1747076238,1
1747076240,1
1747076242,2
1747076244,2
1747076246,1
1747076248,1
1747076250,1
1747076252,1
1747076254,1
1747076256,2
1747076258,2
1747076260,2
1747076262,2
1747076264,2
1747076266,2
1747076268,2
1747076270,2
1747076272,1
1747076275,1
1747076277,2
1747076279,2
1747076281,2
1747076283,1
1747076285,1
1747076287,1
1747076289,1
1747076291,2
1747076293,2
1747076295,2
1747076297,2
1747076299,2
1747076301,2
1747076303,1
1747076305,2
1747076307,2
1747076309,1
1747076311,2
1747076313,2
1747076315,2
1747076317,2
1747076319,1
1747076321,1
1747076323,1
1747076325,1
1747076327,1
1747076329,1
1747076331,1
1747076333,1
1747076335,1
1747076337,2
1747076340,2
1747076342,2
1747076344,2
1747076346,2
1747076348,1
1747076350,1
1747076352,1
