Random waveform, supplied seed
Total number of intervals = 240 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582, 81972, 42852, 51852, 109368, 55794, 35534, 90576, 95085, 100029, 72551, 84629, 74136, 130756, 69916, 72019, 78070, 99548, 36393, 172591, 8325, 73684, 48420, 6828, 118747, 7123, 175577, 147498, 35814, 59488, 167483, 88988, 9869, 111786, 92736, 178657, 108877, 19091, 65772, 79060, 99953, 24354, 144236, 168093, 22028, 77499, 128271, 126673, 43605, 103217, 93706, 23247, 77378, 10495, 134841, 120602, 36975, 151323, 105217, 110653, 127593)
Average QPS expected = 87982
Timestamp start: 1747077108141
Timestamp end: 1747078308492

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      188.8    58.4    86.8   131.6   144.9   186.1   199.6   207.7   213.6   220.1   229.9   245.1   288.5   545.9  2553.1   8268.2     8195
read      198.8   173.2    63.8   105.4   115.4   175.8   210.1   231.5   248.7   269.6   296.3   337.0   446.8  2023.8  4742.2 158607.2   158594
read      202.2   187.8    68.9   103.5   113.2   174.9   210.9   233.1   251.0   272.2   299.4   340.7   539.4  2281.0  6973.4 150124.8   149766
read      203.7   164.2    86.8   127.9   143.1   191.1   207.2   216.1   223.1   231.5   243.7   267.1   470.2  2581.9  7613.7  10458.8    10382
read      341.5   413.2    68.9   134.1   156.8   239.8   270.7   290.6   307.7   334.3   424.5  1323.0  1668.7  3954.6  8708.5 170286.8   170548
read      201.7   192.2    68.9   103.8   113.6   176.0   212.1   234.4   252.1   273.2   300.0   340.4   457.5  2798.7  7469.8 150380.8   150565
read      209.4   191.0    68.9   102.0   111.4   174.9   214.2   238.6   258.3   281.8   312.3   362.0   887.3  2273.2  7037.5 137228.6   137144
read      200.9   211.4    68.9   102.2   111.6   172.4   209.1   232.4   250.8   272.8   300.8   342.8   509.1  2165.5  7825.0 143597.6   143496
read      203.2   203.1    68.9   102.6   112.0   173.9   210.9   233.6   251.6   273.2   301.1   342.1   517.6  3029.3  5862.9 144797.8   144743
read      219.9   251.8    68.9   100.9   110.1   178.2   223.8   252.6   274.0   299.3   331.6   387.3   868.7  3476.0  9427.3 116635.4   116745
read      243.6   263.8    68.9   103.7   114.1   185.6   229.2   259.0   283.8   316.8   372.4   561.5  1316.4  3122.1  7234.9 129433.8   129314
read      205.9   201.9    68.9   102.7   112.2   174.7   211.7   234.1   252.1   273.7   302.2   344.9   711.7  3141.0  4276.9 144619.8   144723
read      223.6   241.0    68.9   102.0   111.4   180.6   226.7   256.3   279.1   307.1   343.2   413.2   866.5  3335.6  7715.7 117482.2   117379
read      240.3   236.6    68.9   106.4   116.8   189.8   236.4   267.4   291.3   321.2   365.9   480.3  1230.0  2694.6  5537.0 120104.2   119931
