timestamp,memcached_cores_usage
1747341304,1
1747341307,2
1747341309,2
1747341311,2
1747341313,2
1747341315,2
1747341317,2
1747341319,2
1747341321,1
1747341323,1
1747341325,1
1747341327,2
1747341329,2
1747341332,2
1747341334,2
1747341336,2
1747341338,2
1747341340,2
1747341342,2
1747341344,2
1747341346,2
1747341348,2
1747341350,2
1747341352,2
1747341354,2
1747341356,2
1747341359,2
1747341361,2
1747341363,2
1747341365,2
1747341367,2
1747341369,2
1747341371,2
1747341373,2
1747341375,2
1747341377,2
1747341379,2
1747341381,2
1747341383,2
1747341386,2
1747341388,2
1747341390,2
1747341392,2
1747341394,2
1747341396,2
1747341398,2
1747341400,2
1747341402,2
1747341404,2
1747341406,2
1747341408,2
1747341410,2
1747341413,2
1747341415,2
1747341417,2
1747341419,2
1747341421,2
1747341423,2
1747341425,2
1747341427,2
1747341429,2
1747341431,2
1747341433,2
1747341435,2
1747341437,2
1747341440,2
1747341442,2
1747341444,2
1747341446,2
1747341448,1
1747341450,1
1747341452,1
1747341454,1
1747341456,1
1747341458,1
1747341461,2
1747341463,2
1747341465,2
1747341467,2
1747341469,1
1747341471,1
1747341473,1
1747341475,1
1747341477,1
1747341479,2
1747341482,2
1747341484,2
1747341486,2
1747341488,2
1747341490,2
1747341492,2
1747341494,2
1747341496,2
1747341498,2
1747341500,2
1747341503,2
1747341505,2
1747341507,2
1747341509,2
1747341511,2
1747341513,2
1747341515,2
1747341517,1
1747341519,1
1747341521,1
1747341524,1
1747341526,1
1747341528,1
1747341530,2
1747341532,2
1747341534,2
1747341536,2
1747341538,1
1747341540,1
1747341542,2
1747341545,2
1747341547,2
1747341549,2
1747341551,2
1747341553,2
1747341555,2
1747341557,2
1747341559,2
1747341562,2
1747341564,2
1747341566,1
1747341568,1
1747341570,1
1747341572,1
1747341574,2
1747341576,2
1747341578,1
1747341580,2
1747341582,2
1747341585,1
1747341587,1
1747341589,1
1747341591,1
1747341593,2
1747341595,2
1747341597,2
1747341599,2
1747341601,2
1747341604,2
1747341606,2
1747341608,2
1747341610,2
1747341612,2
1747341614,2
1747341616,2
1747341618,2
1747341620,2
1747341622,2
1747341624,2
1747341626,2
1747341628,2
1747341630,1
1747341632,1
1747341634,1
1747341636,1
1747341638,1
1747341640,1
1747341642,1
1747341644,1
1747341646,1
1747341648,1
1747341650,1
1747341652,1
1747341654,1
1747341656,2
1747341658,2
1747341660,2
1747341662,2
1747341664,2
1747341666,2
1747341668,2
1747341670,2
1747341672,1
1747341674,2
1747341677,2
1747341679,1
1747341681,1
1747341683,2
1747341685,2
1747341687,2
1747341689,2
1747341691,2
1747341693,1
1747341695,1
1747341697,1
1747341699,1
1747341701,1
1747341703,1
1747341705,1
1747341707,1
1747341709,1
1747341711,1
1747341713,1
1747341715,1
1747341717,1
1747341719,2
1747341722,2
1747341724,2
1747341726,2
1747341728,1
1747341730,1
1747341732,1
1747341734,2
1747341736,2
1747341738,2
1747341740,2
1747341742,1
1747341744,1
1747341746,2
1747341748,2
1747341750,2
1747341752,2
1747341754,2
1747341756,2
1747341758,2
1747341760,2
1747341762,2
1747341764,2
1747341766,2
1747341768,2
1747341770,2
1747341772,2
1747341774,2
1747341776,1
1747341778,1
1747341780,1
1747341782,1
1747341784,1
1747341786,1
1747341788,1
1747341790,1
1747341792,1
1747341794,1
1747341796,1
1747341798,1
1747341800,1
1747341802,2
1747341804,2
1747341806,2
1747341808,2
1747341810,2
1747341812,2
1747341814,2
1747341816,2
1747341818,2
1747341820,2
1747341822,2
1747341824,2
1747341826,2
1747341828,2
1747341830,2
1747341832,1
1747341835,1
1747341837,2
1747341839,2
1747341841,2
1747341843,2
1747341845,2
1747341847,2
1747341849,2
1747341851,2
1747341853,2
1747341855,2
1747341857,2
1747341859,2
1747341861,1
1747341863,1
1747341865,2
1747341867,2
1747341869,2
1747341871,2
1747341873,2
1747341875,1
1747341877,1
1747341879,1
1747341881,1
1747341883,1
1747341885,1
1747341887,2
1747341889,2
1747341891,2
1747341893,2
1747341895,2
1747341897,2
1747341899,2
1747341901,2
1747341903,2
1747341905,2
1747341907,2
1747341909,1
1747341911,1
1747341913,2
1747341916,2
1747341918,2
1747341920,2
1747341922,2
1747341924,1
1747341926,1
1747341929,1
1747341931,1
1747341933,1
1747341935,1
1747341937,2
1747341939,2
1747341941,2
1747341943,2
1747341945,2
1747341947,2
1747341949,2
1747341951,2
1747341953,2
1747341955,2
1747341957,2
1747341959,1
1747341961,1
1747341963,2
1747341965,2
1747341967,2
1747341969,2
1747341971,2
1747341973,1
1747341976,2
1747341978,2
1747341980,1
1747341982,1
1747341984,1
1747341986,1
1747341988,1
1747341990,1
1747341992,1
1747341994,1
1747341996,1
1747341999,2
1747342001,2
1747342003,2
1747342005,2
1747342007,2
1747342009,2
1747342011,2
1747342013,2
1747342015,2
1747342017,2
1747342019,2
1747342021,2
1747342023,2
1747342025,2
1747342027,2
1747342029,2
1747342031,2
1747342033,2
1747342035,2
1747342037,2
1747342039,2
1747342041,2
1747342043,2
1747342045,2
1747342047,2
1747342049,2
1747342051,1
1747342053,1
1747342055,2
1747342057,2
1747342059,2
1747342061,2
1747342063,2
1747342065,2
1747342067,2
1747342069,2
1747342072,2
1747342074,2
1747342076,2
1747342078,2
1747342080,2
1747342082,2
1747342084,2
1747342086,2
1747342088,2
1747342090,2
1747342092,1
1747342094,1
1747342096,2
1747342098,2
1747342100,2
1747342102,2
1747342104,2
1747342106,2
1747342108,2
1747342110,2
1747342112,2
1747342114,2
1747342116,2
1747342118,2
1747342120,1
1747342122,1
1747342124,1
1747342126,1
1747342128,1
1747342130,1
1747342133,1
1747342135,1
1747342137,1
1747342139,1
1747342141,1
1747342143,1
1747342145,2
1747342147,2
1747342149,2
1747342151,2
1747342153,2
1747342155,2
