Random waveform, supplied seed
Total number of intervals = 112 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185)
Average QPS expected = 93505
Timestamp start: 1747332604044
Timestamp end: 1747333604288

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      226.5   165.4    59.1   111.7   139.2   219.8   240.7   252.5   261.9   272.5   288.5   315.3   419.4  2658.7  7650.0   8113.8     8195
read      311.2   454.9    63.8   160.3   172.2   234.4   264.7   284.0   299.2   320.3   353.0   429.8  2938.4  5162.4  9269.6 158499.3   158594
read      252.0   256.6    63.8   151.1   161.2   218.0   253.0   275.4   293.3   315.1   343.3   388.3   719.8  3325.8  7775.7 149942.2   149766
read      239.5   251.4    68.9   114.7   151.3   227.3   250.3   263.3   272.1   284.2   298.9   329.1   525.0  2769.6 11286.9  10346.4    10382
read      309.9   337.2    63.8   165.6   178.9   245.2   276.7   296.7   313.6   336.0   372.2   629.6  1540.1  4074.6  8818.3 170535.7   170548
read      248.3   241.1    63.8   152.2   162.3   217.6   251.7   274.0   291.5   312.8   340.4   382.2   544.4  3373.2  8045.0 150550.6   150565
read      249.1   200.6    63.8   149.8   159.1   215.5   253.4   279.4   299.3   323.4   353.6   398.6   688.8  2609.9  6790.9 137260.1   137144
read      254.7   267.3    63.8   152.4   162.6   220.8   257.9   282.1   300.3   322.3   351.2   395.0   621.8  4026.5 10392.0 143580.7   143496
read      249.9   234.5    63.8   152.0   162.2   219.8   256.2   280.1   298.0   320.2   348.1   391.3   545.9  3293.0  7350.0 144830.4   144743
read      250.8   210.0    63.8   146.8   155.6   214.7   259.6   289.1   310.6   334.9   363.3   403.6   630.6  3068.6  7398.1 116643.8   116745
read      257.3   272.9    63.8   150.2   159.4   217.3   256.7   283.2   303.3   327.2   356.9   399.7   914.9  3677.9  8047.8 129192.8   129314
read      253.2   226.7    63.8   151.8   161.8   219.6   255.8   279.7   297.7   320.3   349.0   393.7   796.7  3127.1  7052.9 144785.7   144723
read      248.1   203.9    59.1   147.6   156.2   214.5   259.0   288.6   310.2   334.4   362.4   401.9   591.0  2745.5  7014.4 117367.1   117379
read      251.3   238.8    63.8   147.3   156.0   215.1   258.7   287.6   308.9   333.0   361.4   402.9   655.3  2977.1  9140.8 120111.0   119931
read      249.7   231.1    63.8   149.2   158.0   215.0   253.9   280.6   300.5   324.4   354.0   397.0   744.6  3023.7  6882.3 132139.3   132052
read      248.6   224.7    63.8   151.0   160.9   216.9   253.4   277.6   296.1   318.8   347.0   391.2   664.4  2626.3  7414.5 143383.3   143350
read      252.2   233.3    63.8   151.2   161.1   217.2   253.1   276.7   295.3   318.0   346.8   391.7   783.6  3323.0  7561.2 143592.4   143518
read      261.9   251.2    68.9   161.8   173.5   234.3   266.2   285.4   299.6   318.0   343.0   385.9   642.3  3401.4  7748.8 173039.1   172981
read      252.6   198.4    59.1   144.5   153.6   216.8   270.1   300.8   321.2   343.0   368.5   405.9   616.0  2752.8  7179.5  94202.4    94027
read      267.8   277.7    68.9   162.3   174.1   236.9   269.8   289.4   304.0   321.3   346.0   389.3   640.5  4075.8  8480.2 170053.4   170019
read      265.1   223.4    59.1   166.5   179.2   244.2   275.3   294.3   308.7   325.3   347.8   388.0   504.5  3155.6  8984.7 179161.1   179090
read      258.0   149.3    59.1   144.9   155.9   248.1   290.5   310.6   324.3   340.7   361.6   393.8   502.0  1802.6  4149.5  47125.7    47130
read      252.6   264.8    63.8   143.1   163.9   241.8   267.7   281.5   291.5   304.0   320.1   347.9   442.0  2647.6 11448.8  19468.7    19439
read      252.5   231.1    63.8   148.7   157.2   214.9   254.9   282.4   303.2   328.0   358.4   402.6   803.6  3192.9  7444.5 128675.2   128963
read      250.6   119.8    63.8   146.3   163.1   245.7   273.1   288.0   297.8   312.4   330.5   360.0   442.8  1868.8  3013.6  23765.8    23787
read      258.6   171.1    59.1   144.4   154.4   236.2   289.8   313.5   329.5   346.4   368.7   402.5   542.1  2382.8  4466.1  61838.7    61848
read      262.7   261.3    63.8   147.1   156.1   219.6   270.8   301.8   323.1   345.9   372.8   417.3   838.8  3971.0  8043.6 102082.4   101968
read      255.3   218.6    59.1   147.6   156.2   217.4   265.9   296.6   318.3   342.0   369.3   409.6   630.3  3258.5  7392.5 108769.7   108767
read      260.2   233.2    59.1   145.9   154.8   218.5   271.4   302.6   323.9   346.6   373.3   419.2   835.8  3345.3  7339.2  97127.2    97139
read      259.0   225.5    63.8   156.5   167.1   227.5   261.9   283.6   300.0   320.5   348.5   395.5   845.7  3287.5  7208.8 158524.7   158594
